fips2000,fips2010,fmr0,fmr1,fmr2,fmr3,fmr4,county,State,CouSub,countyname,Metro_code,Areaname,county_town_name,pop2010,ACS_2012_sm_2,state_alpha,fmr_type,metro,FMR_PCT_Change,FMR_Dollar_Change
5100199999,5100199999,597,623,739,920,1175,1,51,99999,Accomack County,NCNTY51001N51001,"Accomack County, VA",Accomack County,33164,643,VA,40,0,1.149300156,96
5100399999,5100399999,701,927,1099,1398,1586,3,51,99999,Albemarle County,METRO16820M16820,"Charlottesville, VA MSA",Albemarle County,98970,1029,VA,40,1,1.068027211,70
5100599999,5100599999,506,509,626,922,1005,5,51,99999,Alleghany County,NCNTY51005N51005,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmetro FMR Area",Alleghany County,16250,541,VA,40,0,1.157116451,85
5100799999,5100799999,786,826,979,1287,1560,7,51,99999,Amelia County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Amelia County,12690,878,VA,50,1,1.115034169,101
5100999999,5100999999,544,595,726,929,1071,9,51,99999,Amherst County,METRO31340M31340,"Lynchburg, VA MSA",Amherst County,32353,654,VA,40,1,1.110091743,72
5101199999,5101199999,544,595,726,929,1071,11,51,99999,Appomattox County,METRO31340M31340,"Lynchburg, VA MSA",Appomattox County,14973,654,VA,40,1,1.110091743,72
5101399999,5101399999,1130,1191,1412,1890,2374,13,51,99999,Arlington County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Arlington County,207627,1506,VA,40,1,0.9375830013,-94
5101599999,5101599999,429,529,669,883,1171,15,51,99999,Augusta County,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Augusta County,73750,629,VA,40,0,1.063593005,40
5101799999,5101799999,513,536,635,818,1020,17,51,99999,Bath County,NCNTY51017N51017,"Bath County, VA",Bath County,4731,556,VA,40,0,1.142086331,79
5101999999,5101999999,544,595,726,929,1071,19,51,99999,Bedford County,METRO31340M31340,"Lynchburg, VA MSA",Bedford County,68676,654,VA,40,1,1.110091743,72
5102199999,5102199999,506,528,626,780,1005,21,51,99999,Bland County,NCNTY51021N51021,"Bland County, VA",Bland County,6824,541,VA,40,0,1.157116451,85
5102399999,5102399999,529,613,764,1001,1134,23,51,99999,Botetourt County,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Botetourt County,33148,732,VA,40,1,1.043715847,32
5102599999,5102599999,479,482,652,812,1155,25,51,99999,Brunswick County,NCNTY51025N51025,"Brunswick County, VA",Brunswick County,17434,541,VA,40,0,1.205175601,111
5102799999,5102799999,506,528,626,780,837,27,51,99999,Buchanan County,NCNTY51027N51027,"Buchanan County, VA",Buchanan County,24098,541,VA,40,0,1.157116451,85
5102999999,5102999999,506,528,626,922,1109,29,51,99999,Buckingham County,NCNTY51029N51029,"Buckingham County, VA",Buckingham County,17146,541,VA,40,0,1.157116451,85
