fips,fmr0,fmr1,fmr2,fmr3,fmr4,Metro_code,Areaname,State,county,CouSub,county_town_name,pop2000,countyname,state_alpha,fmr_type,metro
5100199999,366,501,563,684,842,NCNTY51001N51001,"Accomack County, VA",51,1,99999,Accomack County,38305,Accomack County,VA,40,0
5100399999,595,716,847,1098,1215,METRO16820M16820,"Charlottesville, VA MSA",51,3,99999,Albemarle County,79236,Albemarle County,VA,40,1
5100599999,348,446,535,650,678,NCNTY51005N51005,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmetro FMR Area",51,5,99999,Alleghany County,12926,Alleghany County,VA,40,0
5100799999,719,779,870,1161,1386,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,7,99999,Amelia County,11400,Amelia County,VA,50,1
5100999999,481,494,595,734,819,METRO31340M31340,"Lynchburg, VA MSA",51,9,99999,Amherst County,31894,Amherst County,VA,40,1
5101199999,481,494,595,734,819,METRO31340M31340,"Lynchburg, VA MSA",51,11,99999,Appomattox County,13705,Appomattox County,VA,40,1
5101399999,1025,1168,1324,1708,2235,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",51,13,99999,Arlington County,189453,Arlington County,VA,50,1
5101599999,467,481,627,897,1031,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",51,15,99999,Augusta County,65615,Augusta County,VA,40,0
5101799999,458,477,592,817,986,NCNTY51017N51017,"Bath County, VA",51,17,99999,Bath County,5048,Bath County,VA,40,0
5101999999,481,494,595,734,819,METRO31340M31340,"Lynchburg, VA MSA",51,19,99999,Bedford County,60371,Bedford County,VA,40,1
5102199999,446,461,535,682,758,NCNTY51021N51021,"Bland County, VA",51,21,99999,Bland County,6871,Bland County,VA,40,0
5102399999,477,508,656,832,909,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",51,23,99999,Botetourt County,30496,Botetourt County,VA,40,1
5102599999,461,476,555,692,958,NCNTY51025N51025,"Brunswick County, VA",51,25,99999,Brunswick County,18419,Brunswick County,VA,40,0
5102799999,446,461,535,682,758,NCNTY51027N51027,"Buchanan County, VA",51,27,99999,Buchanan County,26978,Buchanan County,VA,40,0
5102999999,445,480,535,687,870,NCNTY51029N51029,"Buckingham County, VA",51,29,99999,Buckingham County,15623,Buckingham County,VA,40,0
5103199999,481,494,595,734,819,METRO31340M31340,"Lynchburg, VA MSA",51,31,99999,Campbell County,51078,Campbell County,VA,40,1
5103399999,719,779,870,1161,1386,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,33,99999,Caroline County,22121,Caroline County,VA,50,1
5103599999,445,483,535,641,713,NCNTY51035N51035,"Carroll County-Galax city, VA HUD Nonmetro FMR Area",51,35,99999,Carroll County,29245,Carroll County,VA,40,0
5103699999,719,779,870,1161,1386,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,36,99999,Charles City County,6926,Charles City County,VA,50,1
5103799999,445,480,535,687,870,NCNTY51037N51037,"Charlotte County, VA",51,37,99999,Charlotte County,12472,Charlotte County,VA,40,0
5104199999,719,779,870,1161,1386,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,41,99999,Chesterfield County,259903,Chesterfield County,VA,50,1
5104399999,1025,1168,1324,1708,2235,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",51,43,99999,Clarke County,12652,Clarke County,VA,50,1
5104599999,477,508,656,832,909,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",51,45,99999,Craig County,5091,Craig County,VA,40,1
5104799999,604,615,728,941,1000,NCNTY51047N51047,"Culpeper County, VA",51,47,99999,Culpeper County,34262,Culpeper County,VA,40,0
5104999999,719,779,870,1161,1386,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,49,99999,Cumberland County,9017,Cumberland County,VA,50,1
5105199999,446,477,535,698,718,NCNTY51051N51051,"Dickenson County, VA",51,51,99999,Dickenson County,16395,Dickenson County,VA,40,0
5105399999,719,779,870,1161,1386,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,53,99999,Dinwiddie County,24533,Dinwiddie County,VA,50,1
5105799999,430,531,654,890,918,NCNTY51057N51057,"Essex County, VA",51,57,99999,Essex County,9989,Essex County,VA,40,0
5105999999,1025,1168,1324,1708,2235,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",51,59,99999,Fairfax County,969749,Fairfax County,VA,50,1
5106199999,1025,1168,1324,1708,2235,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",51,61,99999,Fauquier County,55139,Fauquier County,VA,50,1
5106399999,492,536,594,826,1046,NCNTY51063N51063,"Floyd County, VA",51,63,99999,Floyd County,13874,Floyd County,VA,40,0
5106599999,595,716,847,1098,1215,METRO16820M16820,"Charlottesville, VA MSA",51,65,99999,Fluvanna County,20047,Fluvanna County,VA,40,1
5106799999,347,416,535,640,682,METRO40220N51067,"Franklin County, VA HUD Metro FMR Area",51,67,99999,Franklin County,47286,Franklin County,VA,40,1
