FMR_Area,FMR_0Bed,FMR_1Bed,FMR_2Bed,FMR_3Bed,FMR_4Bed,State,msa,county,CountyName,MSAName,stco,pop2000,State_Alpha,FMR_Type
5720,653,686,788,1087,1361,51,5720,700,Newport News city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",51700,180150,VA,50
5720,653,686,788,1087,1361,51,5720,710,Norfolk city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",51710,234403,VA,50
5720,653,686,788,1087,1361,51,5720,735,Poquoson city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",51735,11566,VA,50
5720,653,686,788,1087,1361,51,5720,740,Portsmouth city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",51740,100565,VA,50
5720,653,686,788,1087,1361,51,5720,800,Suffolk city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",51800,63677,VA,50
5720,653,686,788,1087,1361,51,5720,810,Virginia Beach city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",51810,425257,VA,50
5720,653,686,788,1087,1361,51,5720,830,Williamsburg city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",51830,11998,VA,50
6760,668,721,810,1086,1301,51,6760,36,Charles City County,"Richmond--Petersburg, VA MSA",51036,6926,VA,50
6760,668,721,810,1086,1301,51,6760,41,Chesterfield County,"Richmond--Petersburg, VA MSA",51041,259903,VA,50
6760,668,721,810,1086,1301,51,6760,53,Dinwiddie County,"Richmond--Petersburg, VA MSA",51053,24533,VA,50
6760,668,721,810,1086,1301,51,6760,75,Goochland County,"Richmond--Petersburg, VA MSA",51075,16863,VA,50
6760,668,721,810,1086,1301,51,6760,85,Hanover County,"Richmond--Petersburg, VA MSA",51085,86320,VA,50
6760,668,721,810,1086,1301,51,6760,87,Henrico County,"Richmond--Petersburg, VA MSA",51087,262300,VA,50
6760,668,721,810,1086,1301,51,6760,127,New Kent County,"Richmond--Petersburg, VA MSA",51127,13462,VA,50
6760,668,721,810,1086,1301,51,6760,145,Powhatan County,"Richmond--Petersburg, VA MSA",51145,22377,VA,50
6760,668,721,810,1086,1301,51,6760,149,Prince George County,"Richmond--Petersburg, VA MSA",51149,33047,VA,50
6760,668,721,810,1086,1301,51,6760,570,Colonial Heights city,"Richmond--Petersburg, VA MSA",51570,16897,VA,50
6760,668,721,810,1086,1301,51,6760,670,Hopewell city,"Richmond--Petersburg, VA MSA",51670,22354,VA,50
6760,668,721,810,1086,1301,51,6760,730,Petersburg city,"Richmond--Petersburg, VA MSA",51730,33740,VA,50
6760,668,721,810,1086,1301,51,6760,760,Richmond city,"Richmond--Petersburg, VA MSA",51760,197790,VA,50
6800,416,449,586,788,813,51,6800,23,Botetourt County,"Roanoke, VA MSA",51023,30496,VA,40
6800,416,449,586,788,813,51,6800,161,Roanoke County,"Roanoke, VA MSA",51161,85778,VA,40
6800,416,449,586,788,813,51,6800,770,Roanoke city,"Roanoke, VA MSA",51770,94911,VA,40
6800,416,449,586,788,813,51,6800,775,Salem city,"Roanoke, VA MSA",51775,24747,VA,40
8820,435,506,630,886,913,51,8820,187,Warren County,Warren County MSA**,51187,31584,VA,40
8840,915,1045,1187,1537,2000,51,8840,13,Arlington County,"Washington, DC--MD--VA--WV PMSA",51013,189453,VA,50
8840,915,1045,1187,1537,2000,51,8840,59,Fairfax County,"Washington, DC--MD--VA--WV PMSA",51059,969749,VA,50
