areacode2,msa,State,State_Alpha,County,MSAName,StateName,New_FMR0,New_FMR1,New_FMR2,New_FMR3,New_FMR4,FMRType,pop100
510000001,10000,51,VA,1,,Virginia,365,395,461,613,738,40,38305
510000005,10000,51,VA,5,,Virginia,320,389,456,613,738,40,23518
510000007,10000,51,VA,7,,Virginia,308,389,456,613,738,40,11400
510000011,10000,51,VA,11,,Virginia,308,389,456,613,738,40,13705
510000015,10000,51,VA,15,,Virginia,308,399,485,639,776,40,108988
510000017,10000,51,VA,17,,Virginia,308,389,456,613,738,40,5048
510000021,10000,51,VA,21,,Virginia,308,389,456,613,738,40,6871
510000025,10000,51,VA,25,,Virginia,308,389,456,613,738,40,18419
510000027,10000,51,VA,27,,Virginia,308,389,456,613,738,40,26978
510000029,10000,51,VA,29,,Virginia,308,389,456,613,738,40,15623
510000033,10000,51,VA,33,,Virginia,436,442,591,784,826,40,22121
510000035,10000,51,VA,35,,Virginia,308,389,456,613,738,40,36082
510000037,10000,51,VA,37,,Virginia,308,389,456,613,738,40,12472
510000045,10000,51,VA,45,,Virginia,308,389,456,613,738,40,5091
510000049,10000,51,VA,49,,Virginia,308,423,490,613,738,40,9017
510000051,10000,51,VA,51,,Virginia,308,389,456,613,738,40,16395
510000057,10000,51,VA,57,,Virginia,308,433,511,712,841,40,9989
510000063,10000,51,VA,63,,Virginia,308,389,456,613,738,40,13874
510000067,10000,51,VA,67,,Virginia,308,389,456,613,738,40,47286
510000069,10000,51,VA,69,,Virginia,419,483,581,795,952,40,82794
510000071,10000,51,VA,71,,Virginia,308,389,456,613,738,40,16657
510000077,10000,51,VA,77,,Virginia,308,389,456,613,738,40,17917
510000081,10000,51,VA,81,,Virginia,308,399,456,613,738,40,17225
510000083,10000,51,VA,83,,Virginia,308,389,456,613,738,40,37355
510000089,10000,51,VA,89,,Virginia,308,389,456,613,738,40,73346
510000091,10000,51,VA,91,,Virginia,308,389,456,613,738,40,2536
510000097,10000,51,VA,97,,Virginia,308,442,498,622,738,40,6630
510000101,10000,51,VA,101,,Virginia,308,423,473,613,738,40,13146
510000103,10000,51,VA,103,,Virginia,386,432,488,650,792,40,11567
510000105,10000,51,VA,105,,Virginia,308,389,456,613,738,40,23589
510000109,10000,51,VA,109,,Virginia,308,401,495,687,738,40,25627
510000111,10000,51,VA,111,,Virginia,308,389,456,613,738,40,13146
510000113,10000,51,VA,113,,Virginia,309,459,516,648,848,40,12520
510000117,10000,51,VA,117,,Virginia,308,389,456,613,738,40,32380
510000119,10000,51,VA,119,,Virginia,308,391,456,613,738,40,9932
510000121,10000,51,VA,121,,Virginia,316,417,489,679,803,40,99488
510000125,10000,51,VA,125,,Virginia,308,389,456,613,738,40,14445
510000131,10000,51,VA,131,,Virginia,308,389,456,613,738,40,13093
510000133,10000,51,VA,133,,Virginia,308,389,456,613,738,40,12259
510000135,10000,51,VA,135,,Virginia,308,389,456,613,738,40,15725
510000137,10000,51,VA,137,,Virginia,342,464,622,866,1016,40,25881
510000139,10000,51,VA,139,,Virginia,358,403,456,613,738,40,23177
510000141,10000,51,VA,141,,Virginia,308,389,456,613,738,40,19407
510000147,10000,51,VA,147,,Virginia,345,391,456,613,738,40,19720
510000155,10000,51,VA,155,,Virginia,308,389,456,613,738,40,35127
510000157,10000,51,VA,157,,Virginia,312,506,570,790,932,40,6983
510000159,10000,51,VA,159,,Virginia,308,412,460,613,757,40,8809
510000163,10000,51,VA,163,,Virginia,308,389,456,613,738,40,34024
510000165,10000,51,VA,165,,Virginia,308,427,540,740,868,40,108193
510000167,10000,51,VA,167,,Virginia,308,389,456,613,738,40,30308
510000171,10000,51,VA,171,,Virginia,406,417,512,710,807,40,35075
510000173,10000,51,VA,173,,Virginia,308,389,456,613,738,40,33081
510000175,10000,51,VA,175,,Virginia,308,389,456,613,738,40,25828
510000181,10000,51,VA,181,,Virginia,319,389,456,613,738,40,6829
510000183,10000,51,VA,183,,Virginia,308,389,456,613,738,40,12504
510000185,10000,51,VA,185,,Virginia,308,389,456,613,738,40,44598
510000193,10000,51,VA,193,,Virginia,308,417,553,696,900,40,16718
510000195,10000,51,VA,195,,Virginia,308,389,456,613,738,40,44027
510000197,10000,51,VA,197,,Virginia,321,389,456,613,738,40,27599
511540000,1540,51,VA,540,"Charlottesville, VA MSA",Virginia,462,547,698,928,1040,40,159576
511650000,1650,51,VA,43,Clarke County MSA*,Virginia,369,521,674,926,945,40,12652
511891000,1891,51,VA,47,Culpeper County MSA*,Virginia,457,666,775,1024,1227,40,34262
511950000,1950,51,VA,590,"Danville, VA MSA",Virginia,315,397,466,626,755,40,110156
513830000,3830,51,VA,99,King George County MSA*,Virginia,447,595,667,927,934,40,16803
514640000,4640,51,VA,680,"Lynchburg, VA MSA",Virginia,374,414,476,626,755,40,214911
515720000,5720,51,VA,830,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",Virginia,562,632,748,1044,1226,50,1569541
516760000,6760,51,VA,760,"Richmond--Petersburg, VA MSA",Virginia,596,673,785,1091,1288,50,996512
516800000,6800,51,VA,775,"Roanoke, VA MSA",Virginia,317,397,515,660,822,40,235932
518820000,8820,51,VA,187,Warren County MSA*,Virginia,361,495,661,865,1080,40,31584
518840000,8840,51,VA,685,"Washington, DC--MD--VA--WV PMSA",Virginia,913,1039,1218,1660,2002,50,4709757
