FMRArea,msa,State,State_Alpha,County,msaname,CountyName,StateName,FMR0,FMR1,FMR2,FMR3,FMR4,FMRtype,pop
1540,1540,51,VA,540,"Charlottesville, VA",Charlottesville city,VIRGINIA,459,543,693,922,1033,40,131107
1650,1650,51,VA,43,"Clarke County, VA",Clarke,VIRGINIA,352,496,642,882,900,40,12101
1891,1891,51,VA,47,"Culpeper County, VA",Culpeper,VIRGINIA,435,634,737,974,1167,40,27791
1950,1950,51,VA,590,"Danville, VA",Danville city,VIRGINIA,313,394,463,622,750,40,108711
3660,3660,51,VA,520,"Johnson City-Kingsport-Bristol, TN-VA",Bristol city,VIRGINIA,327,390,484,627,743,40,436047
3830,3830,51,VA,99,"King George County, VA",King George,VIRGINIA,426,567,636,884,891,40,13527
4640,4640,51,VA,680,"Lynchburg, VA",Lynchburg city,VIRGINIA,372,411,473,622,750,40,193928
5720,5720,51,VA,830,"Norfolk-Virginia Beach-Newport News, VA-NC",Williamsburg city,VIRGINIA,558,628,743,1037,1218,50,1443244
6760,6760,51,VA,760,"Richmond-Petersburg, VA",Richmond city,VIRGINIA,592,669,780,1084,1279,50,865640
6800,6800,51,VA,775,"Roanoke, VA",Salem city,VIRGINIA,315,394,512,656,817,40,224477
8820,8820,51,VA,187,"Warren County, VA",Warren,VIRGINIA,344,471,629,823,1028,40,26142
8840,8840,51,VA,685,"Washington, DC-MD-VA",Manassas Park city,VIRGINIA,865,984,1154,1573,1897,50,4048745
5100001,10000,51,VA,1,,Accomack,VIRGINIA,365,395,461,613,738,40,31703
5100005,10000,51,VA,5,,Alleghany,VIRGINIA,320,389,456,613,738,40,13176
5100007,10000,51,VA,7,,Amelia,VIRGINIA,308,389,456,613,738,40,8787
5100011,10000,51,VA,11,,Appomattox,VIRGINIA,308,389,456,613,738,40,12298
5100015,10000,51,VA,15,,Augusta,VIRGINIA,308,399,485,639,776,40,54677
5100017,10000,51,VA,17,,Bath,VIRGINIA,308,389,456,613,738,40,4799
5100021,10000,51,VA,21,,Bland,VIRGINIA,308,389,456,613,738,40,6514
5100025,10000,51,VA,25,,Brunswick,VIRGINIA,308,389,456,613,738,40,15987
5100027,10000,51,VA,27,,Buchanan,VIRGINIA,308,389,456,613,738,40,31333
5100029,10000,51,VA,29,,Buckingham,VIRGINIA,308,389,456,613,738,40,12873
5100033,10000,51,VA,33,,Caroline,VIRGINIA,436,442,591,784,826,40,19217
5100035,10000,51,VA,35,,Carroll,VIRGINIA,308,389,456,613,738,40,26594
5100037,10000,51,VA,37,,Charlotte,VIRGINIA,308,389,456,613,738,40,11688
5100045,10000,51,VA,45,,Craig,VIRGINIA,308,389,456,613,738,40,4372
