FMRArea,msa,State,State_Alpha,County,msaname,CountyName,StateName,FMR0,FMR1,FMR2,FMR3,FMR4,FMRtype,pop
5100049,10000,51,VA,49,,Cumberland,VIRGINIA,308,423,490,613,738,40,7825
5100051,10000,51,VA,51,,Dickenson,VIRGINIA,308,389,456,613,738,40,17620
5100057,10000,51,VA,57,,Essex,VIRGINIA,308,433,511,712,841,40,8689
5100063,10000,51,VA,63,,Floyd,VIRGINIA,308,389,456,613,738,40,12005
5100067,10000,51,VA,67,,Franklin,VIRGINIA,308,389,456,613,738,40,39549
5100069,10000,51,VA,69,,Frederick,VIRGINIA,419,483,581,795,952,40,45723
5100071,10000,51,VA,71,,Giles,VIRGINIA,308,389,456,613,738,40,16366
5100077,10000,51,VA,77,,Grayson,VIRGINIA,308,389,456,613,738,40,16278
5100081,10000,51,VA,81,,Greensville,VIRGINIA,308,399,456,613,738,40,8853
5100083,10000,51,VA,83,,Halifax,VIRGINIA,308,389,456,613,738,40,29033
5100089,10000,51,VA,89,,Henry,VIRGINIA,308,389,456,613,738,40,56942
5100091,10000,51,VA,91,,Highland,VIRGINIA,308,389,456,613,738,40,2635
5100097,10000,51,VA,97,,King and Queen,VIRGINIA,308,442,498,622,738,40,6289
5100101,10000,51,VA,101,,King William,VIRGINIA,308,423,473,613,738,40,10913
5100103,10000,51,VA,103,,Lancaster,VIRGINIA,386,432,488,650,792,40,10896
5100105,10000,51,VA,105,,Lee,VIRGINIA,308,389,456,613,738,40,24496
5100109,10000,51,VA,109,,Louisa,VIRGINIA,308,401,495,687,738,40,20325
5100111,10000,51,VA,111,,Lunenburg,VIRGINIA,308,389,456,613,738,40,11419
5100113,10000,51,VA,113,,Madison,VIRGINIA,309,459,516,648,848,40,11949
5100117,10000,51,VA,117,,Mecklenburg,VIRGINIA,308,389,456,613,738,40,29241
5100119,10000,51,VA,119,,Middlesex,VIRGINIA,308,391,456,613,738,40,8653
5100121,10000,51,VA,121,,Montgomery,VIRGINIA,316,417,489,679,803,40,73913
5100125,10000,51,VA,125,,Nelson,VIRGINIA,308,389,456,613,738,40,12778
5100131,10000,51,VA,131,,Northampton,VIRGINIA,308,389,456,613,738,40,13061
5100133,10000,51,VA,133,,Northumberland,VIRGINIA,308,389,456,613,738,40,10524
5100135,10000,51,VA,135,,Nottoway,VIRGINIA,308,389,456,613,738,40,14993
5100137,10000,51,VA,137,,Orange,VIRGINIA,342,464,622,866,1016,40,21421
5100139,10000,51,VA,139,,Page,VIRGINIA,358,403,456,613,738,40,21690
5100141,10000,51,VA,141,,Patrick,VIRGINIA,308,389,456,613,738,40,17473
5100147,10000,51,VA,147,,Prince Edward,VIRGINIA,345,391,456,613,738,40,17320
5100155,10000,51,VA,155,,Pulaski,VIRGINIA,308,389,456,613,738,40,34496
5100157,10000,51,VA,157,,Rappahannock,VIRGINIA,312,506,570,790,932,40,6622
5100159,10000,51,VA,159,,Richmond,VIRGINIA,308,412,460,613,757,40,7273
5100163,10000,51,VA,163,,Rockbridge,VIRGINIA,308,389,456,613,738,40,18350
5100165,10000,51,VA,165,,Rockingham,VIRGINIA,308,427,540,740,868,40,57482
5100167,10000,51,VA,167,,Russell,VIRGINIA,308,389,456,613,738,40,28667
5100171,10000,51,VA,171,,Shenandoah,VIRGINIA,406,417,512,710,807,40,31636
5100173,10000,51,VA,173,,Smyth,VIRGINIA,308,389,456,613,738,40,32370
5100175,10000,51,VA,175,,Southampton,VIRGINIA,308,389,456,613,738,40,17550
5100181,10000,51,VA,181,,Surry,VIRGINIA,319,389,456,613,738,40,6145
5100183,10000,51,VA,183,,Sussex,VIRGINIA,308,389,456,613,738,40,10248
5100185,10000,51,VA,185,,Tazewell,VIRGINIA,308,389,456,613,738,40,45960
5100193,10000,51,VA,193,,Westmoreland,VIRGINIA,308,417,553,696,900,40,15480
5100195,10000,51,VA,195,,Wise,VIRGINIA,308,389,456,613,738,40,39573
5100197,10000,51,VA,197,,Wythe,VIRGINIA,321,389,456,613,738,40,25466
