fips2000,fips2010,fmr2,fmr0,fmr1,fmr3,fmr4,county,State,CouSub,countyname,Metro_code,Areaname,county_town_name,pop2010,state_alpha,fmr_type,metro
5100199999,5100199999,745,602,628,928,1184,1,51,99999,Accomack County,NCNTY51001N51001,"Accomack County, VA",Accomack County,33164,VA,40,0
5100399999,5100399999,1038,662,875,1321,1498,3,51,99999,Albemarle County,METRO16820M16820,"Charlottesville, VA MSA",Albemarle County,98970,VA,40,1
5100599999,5100599999,674,544,548,993,1082,5,51,99999,Alleghany County,NCNTY51005N51005,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmetro FMR Area",Alleghany County,16250,VA,40,0
5100799999,5100799999,993,797,838,1306,1582,7,51,99999,Amelia County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Amelia County,12690,VA,50,1
5100999999,5100999999,746,559,611,955,1100,9,51,99999,Amherst County,METRO31340M31340,"Lynchburg, VA MSA",Amherst County,32353,VA,40,1
5101199999,5101199999,746,559,611,955,1100,11,51,99999,Appomattox County,METRO31340M31340,"Lynchburg, VA MSA",Appomattox County,14973,VA,40,1
5101399999,5101399999,1458,1167,1230,1951,2451,13,51,99999,Arlington County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Arlington County,207627,VA,40,1
5101599999,5101599999,801,513,634,1057,1402,15,51,99999,Augusta County,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Augusta County,73750,VA,40,0
5101799999,5101799999,649,524,547,836,1042,17,51,99999,Bath County,NCNTY51017N51017,"Bath County, VA",Bath County,4731,VA,40,0
5101999999,5101999999,746,559,611,955,1100,19,51,99999,Bedford County,METRO31340M31340,"Lynchburg, VA MSA",Bedford County,68676,VA,40,1
5102199999,5102199999,643,519,542,801,1033,21,51,99999,Bland County,NCNTY51021N51021,"Bland County, VA",Bland County,6824,VA,40,0
