State,County,msa,pop100,CountyName,MSAName,FMRType,StateName,State_Alpha,fmr0,fmr1,fmr2,fmr3,fmr4
51,3,1540,79236,Albemarle County,"Charlottesville, VA MSA",40,Virginia,VA,462,547,698,928,1040
51,65,1540,20047,Fluvanna County,"Charlottesville, VA MSA",40,Virginia,VA,462,547,698,928,1040
51,79,1540,15244,Greene County,"Charlottesville, VA MSA",40,Virginia,VA,462,547,698,928,1040
51,540,1540,45049,Charlottesville city,"Charlottesville, VA MSA",40,Virginia,VA,462,547,698,928,1040
51,43,1650,12652,Clarke County,Clarke County MSA*,40,Virginia,VA,369,521,674,926,945
51,47,1891,34262,Culpeper County,Culpeper County MSA*,40,Virginia,VA,457,666,775,1024,1227
51,143,1950,61745,Pittsylvania County,"Danville, VA MSA",40,Virginia,VA,315,397,466,626,755
51,590,1950,48411,Danville city,"Danville, VA MSA",40,Virginia,VA,315,397,466,626,755
51,169,3660,23403,Scott County,"Johnson City--Kingsport--Bristol, TN--VA MSA",40,Virginia,VA,328,391,486,629,745
51,191,3660,51103,Washington County,"Johnson City--Kingsport--Bristol, TN--VA MSA",40,Virginia,VA,328,391,486,629,745
51,520,3660,17367,Bristol city,"Johnson City--Kingsport--Bristol, TN--VA MSA",40,Virginia,VA,328,391,486,629,745
51,99,3830,16803,King George County,King George County MSA*,40,Virginia,VA,447,595,667,927,934
51,9,4640,31894,Amherst County,"Lynchburg, VA MSA",40,Virginia,VA,374,414,476,626,755
51,19,4640,60371,Bedford County,"Lynchburg, VA MSA",40,Virginia,VA,374,414,476,626,755
51,31,4640,51078,Campbell County,"Lynchburg, VA MSA",40,Virginia,VA,374,414,476,626,755
51,515,4640,6299,Bedford city,"Lynchburg, VA MSA",40,Virginia,VA,374,414,476,626,755
51,680,4640,65269,Lynchburg city,"Lynchburg, VA MSA",40,Virginia,VA,374,414,476,626,755
51,73,5720,34780,Gloucester County,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",50,Virginia,VA,562,632,748,1044,1226
51,93,5720,29728,Isle of Wight County,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",50,Virginia,VA,562,632,748,1044,1226
51,95,5720,48102,James City County,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",50,Virginia,VA,562,632,748,1044,1226
51,115,5720,9207,Mathews County,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",50,Virginia,VA,562,632,748,1044,1226
51,199,5720,56297,York County,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",50,Virginia,VA,562,632,748,1044,1226
51,550,5720,199184,Chesapeake city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",50,Virginia,VA,562,632,748,1044,1226
51,650,5720,146437,Hampton city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",50,Virginia,VA,562,632,748,1044,1226
