cbsamet,state,county,zip,County_Name,CBSA_Name,area_rent_br0,area_rent_br1,area_rent_br2,area_rent_br3,area_rent_br4
16820,51,003,22901,Albemarle County,"Charlottesville, VA MSA",670,810,960,1240,1380
16820,51,003,22902,Albemarle County,"Charlottesville, VA MSA",630,750,890,1150,1280
16820,51,003,22903,Albemarle County,"Charlottesville, VA MSA",640,770,910,1180,1300
16820,51,003,22911,Albemarle County,"Charlottesville, VA MSA",790,950,1130,1460,1620
16820,51,003,22920,Albemarle County,"Charlottesville, VA MSA",590,710,840,1090,1200
16820,51,003,22923,Albemarle County,"Charlottesville, VA MSA",650,780,920,1190,1320
16820,51,003,22931,Albemarle County,"Charlottesville, VA MSA",680,820,970,1260,1390
16820,51,003,22932,Albemarle County,"Charlottesville, VA MSA",680,820,970,1260,1390
16820,51,003,22935,Albemarle County,"Charlottesville, VA MSA",590,710,840,1090,1200
16820,51,003,22936,Albemarle County,"Charlottesville, VA MSA",680,820,970,1260,1390
16820,51,003,22937,Albemarle County,"Charlottesville, VA MSA",680,820,970,1260,1390
16820,51,003,22940,Albemarle County,"Charlottesville, VA MSA",680,820,970,1260,1390
16820,51,003,22942,Albemarle County,"Charlottesville, VA MSA",680,820,970,1260,1390
16820,51,003,22943,Albemarle County,"Charlottesville, VA MSA",680,820,970,1260,1390
16820,51,003,22946,Albemarle County,"Charlottesville, VA MSA",680,820,970,1260,1390
16820,51,003,22947,Albemarle County,"Charlottesville, VA MSA",680,820,970,1260,1390
16820,51,003,22959,Albemarle County,"Charlottesville, VA MSA",650,780,920,1190,1320
16820,51,003,22968,Albemarle County,"Charlottesville, VA MSA",630,760,900,1170,1290
16820,51,003,22969,Albemarle County,"Charlottesville, VA MSA",590,710,840,1090,1200
16820,51,003,22974,Albemarle County,"Charlottesville, VA MSA",630,750,890,1150,1280
16820,51,003,24562,Albemarle County,"Charlottesville, VA MSA",680,820,970,1260,1390
16820,51,003,24590,Albemarle County,"Charlottesville, VA MSA",590,710,840,1090,1200
40060,51,007,23002,Amelia County,"Richmond, VA MSA",680,740,820,1090,1280
40060,51,007,23083,Amelia County,"Richmond, VA MSA",670,730,810,1080,1270
40060,51,007,23833,Amelia County,"Richmond, VA MSA",710,760,850,1130,1330
40060,51,007,23850,Amelia County,"Richmond, VA MSA",710,760,850,1130,1330
40060,51,007,23966,Amelia County,"Richmond, VA MSA",670,730,810,1080,1270
31340,51,009,22922,Amherst County,"Lynchburg, VA MSA",500,510,620,760,850
31340,51,009,22967,Amherst County,"Lynchburg, VA MSA",500,510,620,760,850
31340,51,009,24483,Amherst County,"Lynchburg, VA MSA",500,510,620,760,850
31340,51,009,24521,Amherst County,"Lynchburg, VA MSA",500,510,620,760,850
31340,51,009,24553,Amherst County,"Lynchburg, VA MSA",500,510,620,760,850
31340,51,009,24572,Amherst County,"Lynchburg, VA MSA",520,530,640,790,880
31340,51,009,24574,Amherst County,"Lynchburg, VA MSA",500,510,620,760,850
31340,51,009,24595,Amherst County,"Lynchburg, VA MSA",500,510,620,760,850
31340,51,011,23958,Appomattox County,"Lynchburg, VA MSA",480,490,590,730,810
31340,51,011,24522,Appomattox County,"Lynchburg, VA MSA",480,490,590,730,810
31340,51,011,24538,Appomattox County,"Lynchburg, VA MSA",580,600,720,890,990
31340,51,011,24593,Appomattox County,"Lynchburg, VA MSA",480,490,590,730,810
47900,51,013,22101,Arlington County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1450,1650,2110,2760
47900,51,013,22201,Arlington County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1380,1560,1780,2270,2980
47900,51,013,22202,Arlington County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1520,1710,1950,2490,3270
47900,51,013,22203,Arlington County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1370,1540,1760,2250,2950
47900,51,013,22204,Arlington County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1040,1180,1340,1710,2240
47900,51,013,22205,Arlington County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1450,1650,2110,2760
47900,51,013,22206,Arlington County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1310,1470,1680,2150,2810
47900,51,013,22207,Arlington County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1450,1650,2110,2760
47900,51,013,22209,Arlington County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1250,1410,1610,2060,2700
47900,51,013,22211,Arlington County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1450,1650,2110,2760
47900,51,013,22213,Arlington County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1450,1650,2110,2760
47900,51,013,22214,Arlington County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1450,1650,2110,2760
31340,51,019,24064,Bedford County,"Lynchburg, VA MSA",650,660,800,990,1100
31340,51,019,24095,Bedford County,"Lynchburg, VA MSA",520,530,640,790,880
31340,51,019,24101,Bedford County,"Lynchburg, VA MSA",520,530,640,790,880
31340,51,019,24104,Bedford County,"Lynchburg, VA MSA",520,530,640,790,880
31340,51,019,24121,Bedford County,"Lynchburg, VA MSA",520,530,640,790,880
31340,51,019,24122,Bedford County,"Lynchburg, VA MSA",520,530,640,790,880
31340,51,019,24139,Bedford County,"Lynchburg, VA MSA",520,530,640,790,880
31340,51,019,24174,Bedford County,"Lynchburg, VA MSA",520,530,640,790,880
31340,51,019,24179,Bedford County,"Lynchburg, VA MSA",520,530,640,790,880
31340,51,019,24503,Bedford County,"Lynchburg, VA MSA",570,580,700,860,960
31340,51,019,24523,Bedford County,"Lynchburg, VA MSA",570,580,700,860,960
31340,51,019,24526,Bedford County,"Lynchburg, VA MSA",520,530,640,790,880
31340,51,019,24536,Bedford County,"Lynchburg, VA MSA",520,530,640,790,880
31340,51,019,24550,Bedford County,"Lynchburg, VA MSA",490,500,600,740,830
31340,51,019,24551,Bedford County,"Lynchburg, VA MSA",480,490,590,730,810
31340,51,019,24556,Bedford County,"Lynchburg, VA MSA",520,530,640,790,880
31340,51,019,24570,Bedford County,"Lynchburg, VA MSA",520,530,640,790,880
31340,51,019,24571,Bedford County,"Lynchburg, VA MSA",490,500,600,740,830
40220,51,023,24019,Botetourt County,"Roanoke, VA MSA",580,620,800,1010,1110
40220,51,023,24064,Botetourt County,"Roanoke, VA MSA",580,620,800,1010,1110
40220,51,023,24066,Botetourt County,"Roanoke, VA MSA",530,570,730,920,1010
40220,51,023,24077,Botetourt County,"Roanoke, VA MSA",530,570,730,920,1010
40220,51,023,24083,Botetourt County,"Roanoke, VA MSA",530,570,730,920,1010
40220,51,023,24085,Botetourt County,"Roanoke, VA MSA",530,570,730,920,1010
40220,51,023,24090,Botetourt County,"Roanoke, VA MSA",530,570,730,920,1010
40220,51,023,24175,Botetourt County,"Roanoke, VA MSA",580,620,800,1010,1110
40220,51,023,24422,Botetourt County,"Roanoke, VA MSA",530,570,730,920,1010
31340,51,031,24501,Campbell County,"Lynchburg, VA MSA",520,530,640,790,880
31340,51,031,24502,Campbell County,"Lynchburg, VA MSA",560,570,690,850,950
31340,51,031,24504,Campbell County,"Lynchburg, VA MSA",530,550,660,810,910
31340,51,031,24517,Campbell County,"Lynchburg, VA MSA",480,490,590,730,810
31340,51,031,24528,Campbell County,"Lynchburg, VA MSA",480,490,590,730,810
31340,51,031,24538,Campbell County,"Lynchburg, VA MSA",580,600,720,890,990
31340,51,031,24550,Campbell County,"Lynchburg, VA MSA",490,500,600,740,830
31340,51,031,24551,Campbell County,"Lynchburg, VA MSA",480,490,590,730,810
31340,51,031,24554,Campbell County,"Lynchburg, VA MSA",480,490,590,730,810
31340,51,031,24569,Campbell County,"Lynchburg, VA MSA",480,490,590,730,810
31340,51,031,24571,Campbell County,"Lynchburg, VA MSA",490,500,600,740,830
31340,51,031,24588,Campbell County,"Lynchburg, VA MSA",480,490,590,730,810
40060,51,033,22408,Caroline County,"Richmond, VA MSA",800,860,960,1280,1500
40060,51,033,22427,Caroline County,"Richmond, VA MSA",800,860,960,1280,1500
40060,51,033,22436,Caroline County,"Richmond, VA MSA",800,860,960,1280,1500
40060,51,033,22438,Caroline County,"Richmond, VA MSA",800,860,960,1280,1500
40060,51,033,22514,Caroline County,"Richmond, VA MSA",800,860,960,1280,1500
40060,51,033,22535,Caroline County,"Richmond, VA MSA",800,860,960,1280,1500
40060,51,033,22538,Caroline County,"Richmond, VA MSA",800,860,960,1280,1500
40060,51,033,22546,Caroline County,"Richmond, VA MSA",800,860,960,1280,1500
40060,51,033,22580,Caroline County,"Richmond, VA MSA",800,860,960,1280,1500
40060,51,033,23015,Caroline County,"Richmond, VA MSA",810,880,980,1310,1530
40060,51,033,23047,Caroline County,"Richmond, VA MSA",810,880,980,1310,1530
40060,51,033,23069,Caroline County,"Richmond, VA MSA",670,730,810,1080,1270
40060,51,036,23030,Charles City County,"Richmond, VA MSA",670,730,810,1080,1270
40060,51,036,23140,Charles City County,"Richmond, VA MSA",750,810,900,1200,1410
40060,51,036,23185,Charles City County,"Richmond, VA MSA",670,730,810,1080,1270
40060,51,041,23112,Chesterfield County,"Richmond, VA MSA",890,960,1070,1430,1680
40060,51,041,23113,Chesterfield County,"Richmond, VA MSA",910,990,1100,1470,1720
40060,51,041,23114,Chesterfield County,"Richmond, VA MSA",930,1010,1120,1500,1750
40060,51,041,23120,Chesterfield County,"Richmond, VA MSA",810,870,970,1290,1520
40060,51,041,23224,Chesterfield County,"Richmond, VA MSA",670,730,810,1080,1270
40060,51,041,23225,Chesterfield County,"Richmond, VA MSA",680,740,820,1090,1280
40060,51,041,23234,Chesterfield County,"Richmond, VA MSA",710,760,850,1130,1330
40060,51,041,23235,Chesterfield County,"Richmond, VA MSA",880,950,1060,1420,1660
40060,51,041,23236,Chesterfield County,"Richmond, VA MSA",910,990,1100,1470,1720
40060,51,041,23237,Chesterfield County,"Richmond, VA MSA",710,760,850,1130,1330
40060,51,041,23803,Chesterfield County,"Richmond, VA MSA",670,730,810,1080,1270
40060,51,041,23831,Chesterfield County,"Richmond, VA MSA",840,910,1010,1350,1580
40060,51,041,23832,Chesterfield County,"Richmond, VA MSA",910,990,1100,1470,1720
40060,51,041,23834,Chesterfield County,"Richmond, VA MSA",700,750,840,1120,1320
40060,51,041,23836,Chesterfield County,"Richmond, VA MSA",850,920,1020,1360,1600
40060,51,041,23838,Chesterfield County,"Richmond, VA MSA",820,890,990,1320,1550
47900,51,043,20130,Clarke County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",980,1110,1260,1610,2110
47900,51,043,20135,Clarke County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",980,1110,1260,1610,2110
47900,51,043,22611,Clarke County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",980,1110,1260,1610,2110
47900,51,043,22620,Clarke County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",980,1110,1260,1610,2110
47900,51,043,22646,Clarke County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",980,1110,1260,1610,2110
47900,51,043,22663,Clarke County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",980,1110,1260,1610,2110
40220,51,045,24070,Craig County,"Roanoke, VA MSA",500,530,690,870,950
40220,51,045,24127,Craig County,"Roanoke, VA MSA",470,500,650,820,900
40220,51,045,24128,Craig County,"Roanoke, VA MSA",470,500,650,820,900
40220,51,045,24131,Craig County,"Roanoke, VA MSA",470,500,650,820,900
40220,51,045,24426,Craig County,"Roanoke, VA MSA",470,500,650,820,900
40060,51,049,23027,Cumberland County,"Richmond, VA MSA",670,730,810,1080,1270
40060,51,049,23038,Cumberland County,"Richmond, VA MSA",710,760,850,1130,1330
40060,51,049,23040,Cumberland County,"Richmond, VA MSA",670,730,810,1080,1270
40060,51,049,23123,Cumberland County,"Richmond, VA MSA",670,730,810,1080,1270
40060,51,049,23901,Cumberland County,"Richmond, VA MSA",670,730,810,1080,1270
40060,51,049,23936,Cumberland County,"Richmond, VA MSA",670,730,810,1080,1270
40060,51,053,23803,Dinwiddie County,"Richmond, VA MSA",670,730,810,1080,1270
40060,51,053,23805,Dinwiddie County,"Richmond, VA MSA",690,750,830,1110,1300
40060,51,053,23824,Dinwiddie County,"Richmond, VA MSA",720,780,870,1160,1360
40060,51,053,23830,Dinwiddie County,"Richmond, VA MSA",880,950,1060,1420,1660
40060,51,053,23833,Dinwiddie County,"Richmond, VA MSA",710,760,850,1130,1330
40060,51,053,23840,Dinwiddie County,"Richmond, VA MSA",720,780,870,1160,1360
40060,51,053,23841,Dinwiddie County,"Richmond, VA MSA",720,780,870,1160,1360
40060,51,053,23850,Dinwiddie County,"Richmond, VA MSA",710,760,850,1130,1330
40060,51,053,23872,Dinwiddie County,"Richmond, VA MSA",720,780,870,1160,1360
40060,51,053,23882,Dinwiddie County,"Richmond, VA MSA",670,730,810,1080,1270
40060,51,053,23885,Dinwiddie County,"Richmond, VA MSA",720,780,870,1160,1360
40060,51,053,23894,Dinwiddie County,"Richmond, VA MSA",720,780,870,1160,1360
47900,51,059,20120,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1330,1500,1710,2190,2860
47900,51,059,20121,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1290,1460,1660,2120,2780
47900,51,059,20124,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1440,1640,2100,2750
47900,51,059,20151,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1210,1370,1560,1990,2610
47900,51,059,20170,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1310,1470,1680,2150,2810
47900,51,059,20171,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1360,1530,1750,2240,2930
47900,51,059,20190,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1180,1330,1520,1940,2550
47900,51,059,20191,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1100,1250,1420,1810,2380
47900,51,059,20194,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1450,1630,1860,2380,3120
47900,51,059,22003,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1180,1330,1520,1940,2550
47900,51,059,22015,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1560,1760,2010,2570,3370
47900,51,059,22027,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1440,1640,2100,2750
47900,51,059,22030,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1360,1530,1750,2240,2930
47900,51,059,22031,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1440,1640,2100,2750
47900,51,059,22032,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1440,1640,2100,2750
47900,51,059,22033,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1290,1460,1660,2120,2780
47900,51,059,22039,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1440,1640,2100,2750
47900,51,059,22041,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1060,1190,1360,1740,2280
47900,51,059,22042,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1170,1320,1510,1930,2530
47900,51,059,22043,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1320,1490,1700,2170,2850
47900,51,059,22044,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1060,1190,1360,1740,2280
47900,51,059,22046,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1090,1230,1400,1790,2350
47900,51,059,22060,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1440,1640,2100,2750
47900,51,059,22066,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1440,1640,2100,2750
47900,51,059,22079,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1260,1420,1620,2070,2710
47900,51,059,22101,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1440,1640,2100,2750
47900,51,059,22102,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1380,1560,1780,2270,2980
47900,51,059,22121,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1440,1640,2100,2750
47900,51,059,22124,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1430,1610,1840,2350,3080
47900,51,059,22150,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1210,1360,1550,1980,2600
47900,51,059,22151,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1440,1640,2100,2750
47900,51,059,22152,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1480,1670,1900,2430,3180
47900,51,059,22153,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1560,1760,2010,2570,3370
47900,51,059,22180,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1440,1620,1850,2360,3100
47900,51,059,22181,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1440,1640,2100,2750
47900,51,059,22182,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1440,1640,2100,2750
47900,51,059,22213,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1280,1440,1640,2100,2750
47900,51,059,22303,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1070,1210,1380,1760,2310
