fips,fmr0,fmr1,fmr2,fmr3,fmr4,State,county,CouSub,pop2000,countyname,Metro_code,Areaname,county_town_name,state_alpha,fmr_type,metro
5100199999,366,501,563,684,842,51,1,99999,38305,Accomack County,NCNTY51001N51001,"Accomack County, VA",Accomack County,VA,40,0
5100399999,595,716,847,1098,1215,51,3,99999,79236,Albemarle County,METRO16820M16820,"Charlottesville, VA MSA",Albemarle County,VA,40,1
5100599999,348,446,535,650,678,51,5,99999,12926,Alleghany County,NCNTY51005N51005,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmetro FMR Area",Alleghany County,VA,40,0
5100799999,719,779,870,1161,1386,51,7,99999,11400,Amelia County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Amelia County,VA,50,1
5100999999,481,494,595,734,819,51,9,99999,31894,Amherst County,METRO31340M31340,"Lynchburg, VA MSA",Amherst County,VA,40,1
5101199999,481,494,595,734,819,51,11,99999,13705,Appomattox County,METRO31340M31340,"Lynchburg, VA MSA",Appomattox County,VA,40,1
5101399999,1025,1168,1324,1708,2235,51,13,99999,189453,Arlington County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Arlington County,VA,50,1
5101599999,467,481,627,897,1031,51,15,99999,65615,Augusta County,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Augusta County,VA,40,0
5101799999,458,477,592,817,986,51,17,99999,5048,Bath County,NCNTY51017N51017,"Bath County, VA",Bath County,VA,40,0
5101999999,481,494,595,734,819,51,19,99999,60371,Bedford County,METRO31340M31340,"Lynchburg, VA MSA",Bedford County,VA,40,1
5102199999,446,461,535,682,758,51,21,99999,6871,Bland County,NCNTY51021N51021,"Bland County, VA",Bland County,VA,40,0
5102399999,477,508,656,832,909,51,23,99999,30496,Botetourt County,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Botetourt County,VA,40,1
5102599999,461,476,555,692,958,51,25,99999,18419,Brunswick County,NCNTY51025N51025,"Brunswick County, VA",Brunswick County,VA,40,0
5102799999,446,461,535,682,758,51,27,99999,26978,Buchanan County,NCNTY51027N51027,"Buchanan County, VA",Buchanan County,VA,40,0
5102999999,445,480,535,687,870,51,29,99999,15623,Buckingham County,NCNTY51029N51029,"Buckingham County, VA",Buckingham County,VA,40,0
5103199999,481,494,595,734,819,51,31,99999,51078,Campbell County,METRO31340M31340,"Lynchburg, VA MSA",Campbell County,VA,40,1
5103399999,719,779,870,1161,1386,51,33,99999,22121,Caroline County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Caroline County,VA,50,1
5103599999,445,483,535,641,713,51,35,99999,29245,Carroll County,NCNTY51035N51035,"Carroll County-Galax city, VA HUD Nonmetro FMR Area",Carroll County,VA,40,0
5103699999,719,779,870,1161,1386,51,36,99999,6926,Charles City County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Charles City County,VA,50,1
5103799999,445,480,535,687,870,51,37,99999,12472,Charlotte County,NCNTY51037N51037,"Charlotte County, VA",Charlotte County,VA,40,0
5104199999,719,779,870,1161,1386,51,41,99999,259903,Chesterfield County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Chesterfield County,VA,50,1
5104399999,1025,1168,1324,1708,2235,51,43,99999,12652,Clarke County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Clarke County,VA,50,1
5104599999,477,508,656,832,909,51,45,99999,5091,Craig County,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Craig County,VA,40,1
5104799999,604,615,728,941,1000,51,47,99999,34262,Culpeper County,NCNTY51047N51047,"Culpeper County, VA",Culpeper County,VA,40,0
5104999999,719,779,870,1161,1386,51,49,99999,9017,Cumberland County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Cumberland County,VA,50,1
5105199999,446,477,535,698,718,51,51,99999,16395,Dickenson County,NCNTY51051N51051,"Dickenson County, VA",Dickenson County,VA,40,0
5105399999,719,779,870,1161,1386,51,53,99999,24533,Dinwiddie County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Dinwiddie County,VA,50,1
5105799999,430,531,654,890,918,51,57,99999,9989,Essex County,NCNTY51057N51057,"Essex County, VA",Essex County,VA,40,0
5105999999,1025,1168,1324,1708,2235,51,59,99999,969749,Fairfax County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Fairfax County,VA,50,1
5106199999,1025,1168,1324,1708,2235,51,61,99999,55139,Fauquier County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Fauquier County,VA,50,1
5106399999,492,536,594,826,1046,51,63,99999,13874,Floyd County,NCNTY51063N51063,"Floyd County, VA",Floyd County,VA,40,0
5106599999,595,716,847,1098,1215,51,65,99999,20047,Fluvanna County,METRO16820M16820,"Charlottesville, VA MSA",Fluvanna County,VA,40,1
