msa,State,County,FMR0,FMR1,FMR2,FMR3,FMR4,State_Alpha,CountyName,pop,FMRtype,msaname,StateName,FMRArea
1540,51,3,459,543,693,922,1033,VA,Albemarle,68040,40,"Charlottesville, VA",VIRGINIA,1540
1540,51,65,459,543,693,922,1033,VA,Fluvanna,12429,40,"Charlottesville, VA",VIRGINIA,1540
1540,51,79,459,543,693,922,1033,VA,Greene,10297,40,"Charlottesville, VA",VIRGINIA,1540
1540,51,540,459,543,693,922,1033,VA,Charlottesville city,40341,40,"Charlottesville, VA",VIRGINIA,1540
1650,51,43,352,496,642,882,900,VA,Clarke,12101,40,"Clarke County, VA",VIRGINIA,1650
1891,51,47,435,634,737,974,1167,VA,Culpeper,27791,40,"Culpeper County, VA",VIRGINIA,1891
1950,51,143,313,394,463,622,750,VA,Pittsylvania,55655,40,"Danville, VA",VIRGINIA,1950
1950,51,590,313,394,463,622,750,VA,Danville city,53056,40,"Danville, VA",VIRGINIA,1950
3660,51,169,327,390,484,627,743,VA,Scott,23204,40,"Johnson City-Kingsport-Bristol, TN-VA",VIRGINIA,3660
3660,51,191,327,390,484,627,743,VA,Washington,45887,40,"Johnson City-Kingsport-Bristol, TN-VA",VIRGINIA,3660
3660,51,520,327,390,484,627,743,VA,Bristol city,18426,40,"Johnson City-Kingsport-Bristol, TN-VA",VIRGINIA,3660
3830,51,99,426,567,636,884,891,VA,King George,13527,40,"King George County, VA",VIRGINIA,3830
4640,51,9,372,411,473,622,750,VA,Amherst,28578,40,"Lynchburg, VA",VIRGINIA,4640
4640,51,19,372,411,473,622,750,VA,Bedford,45656,40,"Lynchburg, VA",VIRGINIA,4640
4640,51,31,372,411,473,622,750,VA,Campbell,47572,40,"Lynchburg, VA",VIRGINIA,4640
4640,51,515,372,411,473,622,750,VA,Bedford city,6073,40,"Lynchburg, VA",VIRGINIA,4640
4640,51,680,372,411,473,622,750,VA,Lynchburg city,66049,40,"Lynchburg, VA",VIRGINIA,4640
5720,51,73,558,628,743,1037,1218,VA,Gloucester,30131,50,"Norfolk-Virginia Beach-Newport News, VA-NC",VIRGINIA,5720
5720,51,93,558,628,743,1037,1218,VA,Isle of Wight,25053,50,"Norfolk-Virginia Beach-Newport News, VA-NC",VIRGINIA,5720
5720,51,95,558,628,743,1037,1218,VA,James City,34859,50,"Norfolk-Virginia Beach-Newport News, VA-NC",VIRGINIA,5720
5720,51,115,558,628,743,1037,1218,VA,Mathews,8348,50,"Norfolk-Virginia Beach-Newport News, VA-NC",VIRGINIA,5720
5720,51,199,558,628,743,1037,1218,VA,York,42422,50,"Norfolk-Virginia Beach-Newport News, VA-NC",VIRGINIA,5720
5720,51,550,558,628,743,1037,1218,VA,Chesapeake city,151976,50,"Norfolk-Virginia Beach-Newport News, VA-NC",VIRGINIA,5720
5720,51,650,558,628,743,1037,1218,VA,Hampton city,133793,50,"Norfolk-Virginia Beach-Newport News, VA-NC",VIRGINIA,5720
5720,51,700,558,628,743,1037,1218,VA,Newport News city,170045,50,"Norfolk-Virginia Beach-Newport News, VA-NC",VIRGINIA,5720
5720,51,710,558,628,743,1037,1218,VA,Norfolk city,261229,50,"Norfolk-Virginia Beach-Newport News, VA-NC",VIRGINIA,5720
5720,51,735,558,628,743,1037,1218,VA,Poquoson city,11005,50,"Norfolk-Virginia Beach-Newport News, VA-NC",VIRGINIA,5720
5720,51,740,558,628,743,1037,1218,VA,Portsmouth city,103907,50,"Norfolk-Virginia Beach-Newport News, VA-NC",VIRGINIA,5720
5720,51,800,558,628,743,1037,1218,VA,Suffolk city,52141,50,"Norfolk-Virginia Beach-Newport News, VA-NC",VIRGINIA,5720
5720,51,810,558,628,743,1037,1218,VA,Virginia Beach city,393069,50,"Norfolk-Virginia Beach-Newport News, VA-NC",VIRGINIA,5720
5720,51,830,558,628,743,1037,1218,VA,Williamsburg city,11530,50,"Norfolk-Virginia Beach-Newport News, VA-NC",VIRGINIA,5720
6760,51,36,592,669,780,1084,1279,VA,Charles City,6282,50,"Richmond-Petersburg, VA",VIRGINIA,6760
6760,51,41,592,669,780,1084,1279,VA,Chesterfield,209274,50,"Richmond-Petersburg, VA",VIRGINIA,6760
6760,51,53,592,669,780,1084,1279,VA,Dinwiddie,20960,50,"Richmond-Petersburg, VA",VIRGINIA,6760
6760,51,75,592,669,780,1084,1279,VA,Goochland,14163,50,"Richmond-Petersburg, VA",VIRGINIA,6760
6760,51,85,592,669,780,1084,1279,VA,Hanover,63306,50,"Richmond-Petersburg, VA",VIRGINIA,6760
6760,51,87,592,669,780,1084,1279,VA,Henrico,217881,50,"Richmond-Petersburg, VA",VIRGINIA,6760
6760,51,127,592,669,780,1084,1279,VA,New Kent,10445,50,"Richmond-Petersburg, VA",VIRGINIA,6760
6760,51,145,592,669,780,1084,1279,VA,Powhatan,15328,50,"Richmond-Petersburg, VA",VIRGINIA,6760
6760,51,149,592,669,780,1084,1279,VA,Prince George,27394,50,"Richmond-Petersburg, VA",VIRGINIA,6760
6760,51,570,592,669,780,1084,1279,VA,Colonial Heights city,16064,50,"Richmond-Petersburg, VA",VIRGINIA,6760
6760,51,670,592,669,780,1084,1279,VA,Hopewell city,23101,50,"Richmond-Petersburg, VA",VIRGINIA,6760
6760,51,730,592,669,780,1084,1279,VA,Petersburg city,38386,50,"Richmond-Petersburg, VA",VIRGINIA,6760
6760,51,760,592,669,780,1084,1279,VA,Richmond city,203056,50,"Richmond-Petersburg, VA",VIRGINIA,6760
6800,51,23,315,394,512,656,817,VA,Botetourt,24992,40,"Roanoke, VA",VIRGINIA,6800
6800,51,161,315,394,512,656,817,VA,Roanoke,79332,40,"Roanoke, VA",VIRGINIA,6800
6800,51,770,315,394,512,656,817,VA,Roanoke city,96397,40,"Roanoke, VA",VIRGINIA,6800
6800,51,775,315,394,512,656,817,VA,Salem city,23756,40,"Roanoke, VA",VIRGINIA,6800
8820,51,187,344,471,629,823,1028,VA,Warren,26142,40,"Warren County, VA",VIRGINIA,8820
8840,51,13,865,984,1154,1573,1897,VA,Arlington,170936,50,"Washington, DC-MD-VA",VIRGINIA,8840
8840,51,59,865,984,1154,1573,1897,VA,Fairfax,818584,50,"Washington, DC-MD-VA",VIRGINIA,8840
8840,51,61,865,984,1154,1573,1897,VA,Fauquier,48741,50,"Washington, DC-MD-VA",VIRGINIA,8840
8840,51,107,865,984,1154,1573,1897,VA,Loudoun,86129,50,"Washington, DC-MD-VA",VIRGINIA,8840
8840,51,153,865,984,1154,1573,1897,VA,Prince William,215686,50,"Washington, DC-MD-VA",VIRGINIA,8840
8840,51,177,865,984,1154,1573,1897,VA,Spotsylvania,57403,50,"Washington, DC-MD-VA",VIRGINIA,8840
8840,51,179,865,984,1154,1573,1897,VA,Stafford,61236,50,"Washington, DC-MD-VA",VIRGINIA,8840
8840,51,510,865,984,1154,1573,1897,VA,Alexandria city,111183,50,"Washington, DC-MD-VA",VIRGINIA,8840
8840,51,600,865,984,1154,1573,1897,VA,Fairfax city,19622,50,"Washington, DC-MD-VA",VIRGINIA,8840
8840,51,610,865,984,1154,1573,1897,VA,Falls Church city,9578,50,"Washington, DC-MD-VA",VIRGINIA,8840
8840,51,630,865,984,1154,1573,1897,VA,Fredericksburg city,19027,50,"Washington, DC-MD-VA",VIRGINIA,8840
8840,51,683,865,984,1154,1573,1897,VA,Manassas city,27957,50,"Washington, DC-MD-VA",VIRGINIA,8840
