msa,State,County,FMR0,FMR1,FMR2,FMR3,FMR4,State_Alpha,CountyName,pop,FMRtype,msaname,StateName,FMRArea
8840,51,685,865,984,1154,1573,1897,VA,Manassas Park city,6734,50,"Washington, DC-MD-VA",VIRGINIA,8840
10000,51,1,365,395,461,613,738,VA,Accomack,31703,40,,VIRGINIA,5100001
10000,51,5,320,389,456,613,738,VA,Alleghany,13176,40,,VIRGINIA,5100005
10000,51,7,308,389,456,613,738,VA,Amelia,8787,40,,VIRGINIA,5100007
10000,51,11,308,389,456,613,738,VA,Appomattox,12298,40,,VIRGINIA,5100011
10000,51,15,308,399,485,639,776,VA,Augusta,54677,40,,VIRGINIA,5100015
10000,51,17,308,389,456,613,738,VA,Bath,4799,40,,VIRGINIA,5100017
10000,51,21,308,389,456,613,738,VA,Bland,6514,40,,VIRGINIA,5100021
10000,51,25,308,389,456,613,738,VA,Brunswick,15987,40,,VIRGINIA,5100025
10000,51,27,308,389,456,613,738,VA,Buchanan,31333,40,,VIRGINIA,5100027
10000,51,29,308,389,456,613,738,VA,Buckingham,12873,40,,VIRGINIA,5100029
10000,51,33,436,442,591,784,826,VA,Caroline,19217,40,,VIRGINIA,5100033
10000,51,35,308,389,456,613,738,VA,Carroll,26594,40,,VIRGINIA,5100035
10000,51,37,308,389,456,613,738,VA,Charlotte,11688,40,,VIRGINIA,5100037
10000,51,45,308,389,456,613,738,VA,Craig,4372,40,,VIRGINIA,5100045
10000,51,49,308,423,490,613,738,VA,Cumberland,7825,40,,VIRGINIA,5100049
10000,51,51,308,389,456,613,738,VA,Dickenson,17620,40,,VIRGINIA,5100051
10000,51,57,308,433,511,712,841,VA,Essex,8689,40,,VIRGINIA,5100057
10000,51,63,308,389,456,613,738,VA,Floyd,12005,40,,VIRGINIA,5100063
10000,51,67,308,389,456,613,738,VA,Franklin,39549,40,,VIRGINIA,5100067
10000,51,69,419,483,581,795,952,VA,Frederick,45723,40,,VIRGINIA,5100069
10000,51,71,308,389,456,613,738,VA,Giles,16366,40,,VIRGINIA,5100071
10000,51,77,308,389,456,613,738,VA,Grayson,16278,40,,VIRGINIA,5100077
10000,51,81,308,399,456,613,738,VA,Greensville,8853,40,,VIRGINIA,5100081
10000,51,83,308,389,456,613,738,VA,Halifax,29033,40,,VIRGINIA,5100083
10000,51,89,308,389,456,613,738,VA,Henry,56942,40,,VIRGINIA,5100089
10000,51,91,308,389,456,613,738,VA,Highland,2635,40,,VIRGINIA,5100091
10000,51,97,308,442,498,622,738,VA,King and Queen,6289,40,,VIRGINIA,5100097
10000,51,101,308,423,473,613,738,VA,King William,10913,40,,VIRGINIA,5100101
10000,51,103,386,432,488,650,792,VA,Lancaster,10896,40,,VIRGINIA,5100103
10000,51,105,308,389,456,613,738,VA,Lee,24496,40,,VIRGINIA,5100105
10000,51,109,308,401,495,687,738,VA,Louisa,20325,40,,VIRGINIA,5100109
10000,51,111,308,389,456,613,738,VA,Lunenburg,11419,40,,VIRGINIA,5100111
10000,51,113,309,459,516,648,848,VA,Madison,11949,40,,VIRGINIA,5100113
10000,51,117,308,389,456,613,738,VA,Mecklenburg,29241,40,,VIRGINIA,5100117
10000,51,119,308,391,456,613,738,VA,Middlesex,8653,40,,VIRGINIA,5100119
10000,51,121,316,417,489,679,803,VA,Montgomery,73913,40,,VIRGINIA,5100121
10000,51,125,308,389,456,613,738,VA,Nelson,12778,40,,VIRGINIA,5100125
10000,51,131,308,389,456,613,738,VA,Northampton,13061,40,,VIRGINIA,5100131
10000,51,133,308,389,456,613,738,VA,Northumberland,10524,40,,VIRGINIA,5100133
10000,51,135,308,389,456,613,738,VA,Nottoway,14993,40,,VIRGINIA,5100135
10000,51,137,342,464,622,866,1016,VA,Orange,21421,40,,VIRGINIA,5100137
10000,51,139,358,403,456,613,738,VA,Page,21690,40,,VIRGINIA,5100139
10000,51,141,308,389,456,613,738,VA,Patrick,17473,40,,VIRGINIA,5100141
10000,51,147,345,391,456,613,738,VA,Prince Edward,17320,40,,VIRGINIA,5100147
10000,51,155,308,389,456,613,738,VA,Pulaski,34496,40,,VIRGINIA,5100155
10000,51,157,312,506,570,790,932,VA,Rappahannock,6622,40,,VIRGINIA,5100157
10000,51,159,308,412,460,613,757,VA,Richmond,7273,40,,VIRGINIA,5100159
10000,51,163,308,389,456,613,738,VA,Rockbridge,18350,40,,VIRGINIA,5100163
10000,51,165,308,427,540,740,868,VA,Rockingham,57482,40,,VIRGINIA,5100165
10000,51,167,308,389,456,613,738,VA,Russell,28667,40,,VIRGINIA,5100167
10000,51,171,406,417,512,710,807,VA,Shenandoah,31636,40,,VIRGINIA,5100171
10000,51,173,308,389,456,613,738,VA,Smyth,32370,40,,VIRGINIA,5100173
10000,51,175,308,389,456,613,738,VA,Southampton,17550,40,,VIRGINIA,5100175
10000,51,181,319,389,456,613,738,VA,Surry,6145,40,,VIRGINIA,5100181
10000,51,183,308,389,456,613,738,VA,Sussex,10248,40,,VIRGINIA,5100183
10000,51,185,308,389,456,613,738,VA,Tazewell,45960,40,,VIRGINIA,5100185
10000,51,193,308,417,553,696,900,VA,Westmoreland,15480,40,,VIRGINIA,5100193
10000,51,195,308,389,456,613,738,VA,Wise,39573,40,,VIRGINIA,5100195
10000,51,197,321,389,456,613,738,VA,Wythe,25466,40,,VIRGINIA,5100197
