FIPS,fmr0,fmr1,fmr2,fmr3,fmr4,county,State,CouSub,pop2000,countyname,Metro_code,Areaname,county_town_name,state_alpha,fmr_type,metro
5100199999,390,533,600,729,898,1,51,99999,38305,Accomack County,NCNTY51001N51001,"Accomack County, VA",Accomack County,VA,40,0
5100399999,635,763,903,1170,1295,3,51,99999,79236,Albemarle County,METRO16820M16820,"Charlottesville, VA MSA",Albemarle County,VA,40,1
5100599999,371,476,571,694,723,5,51,99999,12926,Alleghany County,NCNTY51005N51005,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmetro FMR Area",Alleghany County,VA,40,0
5100799999,768,832,930,1241,1481,7,51,99999,11400,Amelia County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Amelia County,VA,50,1
5100999999,513,526,634,782,872,9,51,99999,31894,Amherst County,METRO31340M31340,"Lynchburg, VA MSA",Amherst County,VA,40,1
5101199999,513,526,634,782,872,11,51,99999,13705,Appomattox County,METRO31340M31340,"Lynchburg, VA MSA",Appomattox County,VA,40,1
5101399999,1061,1198,1364,1745,2285,13,51,99999,189453,Arlington County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Arlington County,VA,40,1
5101599999,498,512,668,955,1099,15,51,99999,65615,Augusta County,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Augusta County,VA,40,0
5101799999,489,509,632,872,1053,17,51,99999,5048,Bath County,NCNTY51017N51017,"Bath County, VA",Bath County,VA,40,0
5101999999,513,526,634,782,872,19,51,99999,60371,Bedford County,METRO31340M31340,"Lynchburg, VA MSA",Bedford County,VA,40,1
5102199999,476,492,571,728,809,21,51,99999,6871,Bland County,NCNTY51021N51021,"Bland County, VA",Bland County,VA,40,0
5102399999,509,542,700,888,970,23,51,99999,30496,Botetourt County,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Botetourt County,VA,40,1
5102599999,491,507,591,737,1020,25,51,99999,18419,Brunswick County,NCNTY51025N51025,"Brunswick County, VA",Brunswick County,VA,40,0
5102799999,476,492,571,728,809,27,51,99999,26978,Buchanan County,NCNTY51027N51027,"Buchanan County, VA",Buchanan County,VA,40,0
5102999999,475,513,571,734,928,29,51,99999,15623,Buckingham County,NCNTY51029N51029,"Buckingham County, VA",Buckingham County,VA,40,0
5103199999,513,526,634,782,872,31,51,99999,51078,Campbell County,METRO31340M31340,"Lynchburg, VA MSA",Campbell County,VA,40,1
5103399999,768,832,930,1241,1481,33,51,99999,22121,Caroline County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Caroline County,VA,50,1
5103599999,475,515,571,685,761,35,51,99999,29245,Carroll County,NCNTY51035N51035,"Carroll County-Galax city, VA HUD Nonmetro FMR Area",Carroll County,VA,40,0
5103699999,768,832,930,1241,1481,36,51,99999,6926,Charles City County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Charles City County,VA,50,1
5103799999,475,513,571,734,928,37,51,99999,12472,Charlotte County,NCNTY51037N51037,"Charlotte County, VA",Charlotte County,VA,40,0
5104199999,768,832,930,1241,1481,41,51,99999,259903,Chesterfield County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Chesterfield County,VA,50,1
5104399999,1061,1198,1364,1745,2285,43,51,99999,12652,Clarke County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Clarke County,VA,40,1
5104599999,509,542,700,888,970,45,51,99999,5091,Craig County,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Craig County,VA,40,1
5104799999,640,651,771,997,1059,47,51,99999,34262,Culpeper County,NCNTY51047N51047,"Culpeper County, VA",Culpeper County,VA,40,0
5104999999,768,832,930,1241,1481,49,51,99999,9017,Cumberland County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Cumberland County,VA,50,1
5105199999,476,509,571,745,766,51,51,99999,16395,Dickenson County,NCNTY51051N51051,"Dickenson County, VA",Dickenson County,VA,40,0
5105399999,768,832,930,1241,1481,53,51,99999,24533,Dinwiddie County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Dinwiddie County,VA,50,1
5105799999,459,566,697,949,978,57,51,99999,9989,Essex County,NCNTY51057N51057,"Essex County, VA",Essex County,VA,40,0
5105999999,1061,1198,1364,1745,2285,59,51,99999,969749,Fairfax County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Fairfax County,VA,40,1
5106199999,1061,1198,1364,1745,2285,61,51,99999,55139,Fauquier County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Fauquier County,VA,40,1
5106399999,525,571,633,881,1115,63,51,99999,13874,Floyd County,NCNTY51063N51063,"Floyd County, VA",Floyd County,VA,40,0
5106599999,635,763,903,1170,1295,65,51,99999,20047,Fluvanna County,METRO16820M16820,"Charlottesville, VA MSA",Fluvanna County,VA,40,1
5106799999,371,444,571,683,727,67,51,99999,47286,Franklin County,METRO40220N51067,"Franklin County, VA HUD Metro FMR Area",Franklin County,VA,40,1
5106999999,558,579,764,1054,1085,69,51,99999,59209,Frederick County,METRO49020M49020,"Winchester, VA-WV MSA",Frederick County,VA,40,1
5107199999,372,482,571,728,1004,71,51,99999,16657,Giles County,METRO13980N51071,"Giles County, VA HUD Metro FMR Area",Giles County,VA,40,1
5107399999,774,807,934,1277,1539,73,51,99999,34780,Gloucester County,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Gloucester County,VA,40,1
5107599999,768,832,930,1241,1481,75,51,99999,16863,Goochland County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Goochland County,VA,50,1
5107799999,476,492,571,728,809,77,51,99999,17917,Grayson County,NCNTY51077N51077,"Grayson County, VA",Grayson County,VA,40,0
5107999999,635,763,903,1170,1295,79,51,99999,15244,Greene County,METRO16820M16820,"Charlottesville, VA MSA",Greene County,VA,40,1
5108199999,492,533,592,715,888,81,51,99999,11560,Greensville County,NCNTY51081N51081,"Greensville County-Emporia city, VA HUD Nonmetro FMR Area",Greensville County,VA,40,0
5108399999,371,516,571,767,1003,83,51,99999,37355,Halifax County,NCNTY51083N51083,"Halifax County, VA",Halifax County,VA,40,0
5108599999,768,832,930,1241,1481,85,51,99999,86320,Hanover County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Hanover County,VA,50,1
5108799999,768,832,930,1241,1481,87,51,99999,262300,Henrico County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Henrico County,VA,50,1
5108999999,440,458,571,732,839,89,51,99999,57930,Henry County,NCNTY51089N51089,"Henry County-Martinsville city, VA HUD Nonmetro FMR Area",Henry County,VA,40,0
5109199999,489,509,632,872,1053,91,51,99999,2536,Highland County,NCNTY51091N51091,"Highland County, VA",Highland County,VA,40,0
5109399999,774,807,934,1277,1539,93,51,99999,29728,Isle of Wight County,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Isle of Wight County,VA,40,1
5109599999,774,807,934,1277,1539,95,51,99999,48102,James City County,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",James City County,VA,40,1
5109799999,768,832,930,1241,1481,97,51,99999,6630,King and Queen County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",King and Queen County,VA,50,1
5109999999,647,648,779,1133,1166,99,51,99999,16803,King George County,NCNTY51099N51099,"King George County, VA",King George County,VA,40,0
5110199999,768,832,930,1241,1481,101,51,99999,13146,King William County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",King William County,VA,50,1
5110399999,458,564,687,845,910,103,51,99999,11567,Lancaster County,NCNTY51103N51103,"Lancaster County, VA",Lancaster County,VA,40,0
5110599999,370,447,571,734,777,105,51,99999,23589,Lee County,NCNTY51105N51105,"Lee County, VA",Lee County,VA,40,0
5110799999,1061,1198,1364,1745,2285,107,51,99999,169599,Loudoun County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Loudoun County,VA,40,1
5110999999,621,704,802,959,987,109,51,99999,25627,Louisa County,METRO40060N51109,"Louisa County, VA HUD Metro FMR Area",Louisa County,VA,40,1
5111199999,491,507,591,737,1020,111,51,99999,13146,Lunenburg County,NCNTY51111N51111,"Lunenburg County, VA",Lunenburg County,VA,40,0
5111399999,505,563,680,941,971,113,51,99999,12520,Madison County,NCNTY51113N51113,"Madison County, VA",Madison County,VA,40,0
5111599999,774,807,934,1277,1539,115,51,99999,9207,Mathews County,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Mathews County,VA,40,1
