fips2000,fips2010,fmr2,fmr0,fmr1,fmr3,fmr4,county,State,CouSub,countyname,Metro_code,Areaname,county_town_name,pop2010,ACS_2013_sm_2,state_alpha,fmr_type,metro,FMR_PCT_Change,FMR_Dollar_Change
5100199999,5100199999,734,593,619,914,1167,1,51,99999,Accomack County,NCNTY51001N51001,"Accomack County, VA",Accomack County,33164,739,VA,40,0,0.9932341001,-5
5100399999,5100399999,1008,643,850,1283,1455,3,51,99999,Albemarle County,METRO16820M16820,"Charlottesville, VA MSA",Albemarle County,98970,1099,VA,40,1,0.9171974522,-91
5100599999,5100599999,617,498,502,909,991,5,51,99999,Alleghany County,NCNTY51005N51005,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmetro FMR Area",Alleghany County,16250,626,VA,40,0,0.9856230032,-9
5100799999,5100799999,984,790,830,1294,1568,7,51,99999,Amelia County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Amelia County,12690,979,VA,50,1,1.005107252,5
5100999999,5100999999,657,492,538,841,969,9,51,99999,Amherst County,METRO31340M31340,"Lynchburg, VA MSA",Amherst County,32353,726,VA,40,1,0.9049586777,-69
5101199999,5101199999,657,492,538,841,969,11,51,99999,Appomattox County,METRO31340M31340,"Lynchburg, VA MSA",Appomattox County,14973,726,VA,40,1,0.9049586777,-69
5101399999,5101399999,1469,1176,1239,1966,2470,13,51,99999,Arlington County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Arlington County,207627,1412,VA,40,1,1.040368272,57
5101599999,5101599999,719,461,569,948,1258,15,51,99999,Augusta County,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Augusta County,73750,669,VA,40,0,1.074738416,50
5101799999,5101799999,617,498,520,795,991,17,51,99999,Bath County,NCNTY51017N51017,"Bath County, VA",Bath County,4731,635,VA,40,0,0.9716535433,-18
5101999999,5101999999,657,492,538,841,969,19,51,99999,Bedford County,METRO31340M31340,"Lynchburg, VA MSA",Bedford County,68676,726,VA,40,1,0.9049586777,-69
5102199999,5102199999,617,498,520,768,991,21,51,99999,Bland County,NCNTY51021N51021,"Bland County, VA",Bland County,6824,626,VA,40,0,0.9856230032,-9
5102399999,5102399999,720,498,578,943,1069,23,51,99999,Botetourt County,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Botetourt County,33148,764,VA,40,1,0.942408377,-44
5102599999,5102599999,617,453,456,768,1093,25,51,99999,Brunswick County,NCNTY51025N51025,"Brunswick County, VA",Brunswick County,17434,652,VA,40,0,0.9463190184,-35
5102799999,5102799999,617,498,520,768,825,27,51,99999,Buchanan County,NCNTY51027N51027,"Buchanan County, VA",Buchanan County,24098,626,VA,40,0,0.9856230032,-9
5102999999,5102999999,647,523,546,953,1146,29,51,99999,Buckingham County,NCNTY51029N51029,"Buckingham County, VA",Buckingham County,17146,626,VA,40,0,1.033546326,21
5103199999,5103199999,657,492,538,841,969,31,51,99999,Campbell County,METRO31340M31340,"Lynchburg, VA MSA",Campbell County,54842,726,VA,40,1,0.9049586777,-69
5103399999,5103399999,984,790,830,1294,1568,33,51,99999,Caroline County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Caroline County,28545,979,VA,50,1,1.005107252,5
5103599999,5103599999,617,498,520,835,1047,35,51,99999,Carroll County,NCNTY51035N51035,"Carroll County-Galax city, VA HUD Nonmetro FMR Area",Carroll County,30042,626,VA,40,0,0.9856230032,-9
5103699999,5103699999,984,790,830,1294,1568,36,51,99999,Charles City County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Charles City County,7256,979,VA,50,1,1.005107252,5
5103799999,5103799999,617,479,482,835,838,37,51,99999,Charlotte County,NCNTY51037N51037,"Charlotte County, VA",Charlotte County,12586,626,VA,40,0,0.9856230032,-9
5104199999,5104199999,984,790,830,1294,1568,41,51,99999,Chesterfield County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Chesterfield County,316236,979,VA,50,1,1.005107252,5
5104399999,5104399999,1469,1176,1239,1966,2470,43,51,99999,Clarke County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Clarke County,14034,1412,VA,40,1,1.040368272,57
5104599999,5104599999,720,498,578,943,1069,45,51,99999,Craig County,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Craig County,5190,764,VA,40,1,0.942408377,-44
