FIPS,fmr0,fmr1,fmr2,fmr3,fmr4,county,State,CouSub,pop2000,countyname,Metro_code,Areaname,county_town_name,state_alpha,fmr_type,metro
5100199999,418,572,643,781,962,1,51,99999,38305,Accomack County,NCNTY51001N51001,"Accomack County, VA",Accomack County,VA,40,0
5100399999,723,870,1029,1334,1476,3,51,99999,79236,Albemarle County,METRO16820M16820,"Charlottesville, VA MSA",Albemarle County,VA,40,1
5100599999,352,451,541,657,685,5,51,99999,12926,Alleghany County,NCNTY51005N51005,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmetro FMR Area",Alleghany County,VA,40,0
5100799999,725,786,878,1171,1399,7,51,99999,11400,Amelia County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Amelia County,VA,40,1
5100999999,529,543,654,806,900,9,51,99999,31894,Amherst County,METRO31340M31340,"Lynchburg, VA MSA",Amherst County,VA,40,1
5101199999,529,543,654,806,900,11,51,99999,13705,Appomattox County,METRO31340M31340,"Lynchburg, VA MSA",Appomattox County,VA,40,1
5101399999,1166,1328,1506,1943,2542,13,51,99999,189453,Arlington County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Arlington County,VA,50,1
5101599999,469,482,629,899,1035,15,51,99999,65615,Augusta County,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Augusta County,VA,40,0
5101799999,430,448,556,767,926,17,51,99999,5048,Bath County,NCNTY51017N51017,"Bath County, VA",Bath County,VA,40,0
5101999999,529,543,654,806,900,19,51,99999,60371,Bedford County,METRO31340M31340,"Lynchburg, VA MSA",Bedford County,VA,40,1
5102199999,451,466,541,690,767,21,51,99999,6871,Bland County,NCNTY51021N51021,"Bland County, VA",Bland County,VA,40,0
5102399999,532,567,732,929,1014,23,51,99999,30496,Botetourt County,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Botetourt County,VA,40,1
5102599999,450,464,541,675,934,25,51,99999,18419,Brunswick County,NCNTY51025N51025,"Brunswick County, VA",Brunswick County,VA,40,0
5102799999,451,466,541,690,767,27,51,99999,26978,Buchanan County,NCNTY51027N51027,"Buchanan County, VA",Buchanan County,VA,40,0
5102999999,450,486,541,695,880,29,51,99999,15623,Buckingham County,NCNTY51029N51029,"Buckingham County, VA",Buckingham County,VA,40,0
5103199999,529,543,654,806,900,31,51,99999,51078,Campbell County,METRO31340M31340,"Lynchburg, VA MSA",Campbell County,VA,40,1
5103399999,725,786,878,1171,1399,33,51,99999,22121,Caroline County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Caroline County,VA,40,1
5103599999,450,488,541,649,721,35,51,99999,29245,Carroll County,NCNTY51035N51035,"Carroll County-Galax city, VA HUD Nonmetro FMR Area",Carroll County,VA,40,0
5103699999,725,786,878,1171,1399,36,51,99999,6926,Charles City County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Charles City County,VA,40,1
5103799999,450,486,541,695,880,37,51,99999,12472,Charlotte County,NCNTY51037N51037,"Charlotte County, VA",Charlotte County,VA,40,0
5104199999,725,786,878,1171,1399,41,51,99999,259903,Chesterfield County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Chesterfield County,VA,40,1
5104399999,1166,1328,1506,1943,2542,43,51,99999,12652,Clarke County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Clarke County,VA,50,1
5104599999,532,567,732,929,1014,45,51,99999,5091,Craig County,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Craig County,VA,40,1
5104799999,641,652,772,998,1061,47,51,99999,34262,Culpeper County,NCNTY51047N51047,"Culpeper County, VA",Culpeper County,VA,40,0
5104999999,725,786,878,1171,1399,49,51,99999,9017,Cumberland County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Cumberland County,VA,40,1
5105199999,451,483,541,706,726,51,51,99999,16395,Dickenson County,NCNTY51051N51051,"Dickenson County, VA",Dickenson County,VA,40,0
5105399999,725,786,878,1171,1399,53,51,99999,24533,Dinwiddie County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Dinwiddie County,VA,40,1
5105799999,452,558,687,935,964,57,51,99999,9989,Essex County,NCNTY51057N51057,"Essex County, VA",Essex County,VA,40,0
5105999999,1166,1328,1506,1943,2542,59,51,99999,969749,Fairfax County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Fairfax County,VA,50,1
5106199999,1166,1328,1506,1943,2542,61,51,99999,55139,Fauquier County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Fauquier County,VA,50,1
5106399999,448,488,541,753,953,63,51,99999,13874,Floyd County,NCNTY51063N51063,"Floyd County, VA",Floyd County,VA,40,0
5106599999,723,870,1029,1334,1476,65,51,99999,20047,Fluvanna County,METRO16820M16820,"Charlottesville, VA MSA",Fluvanna County,VA,40,1
5106799999,396,474,610,730,777,67,51,99999,47286,Franklin County,METRO40220N51067,"Franklin County, VA HUD Metro FMR Area",Franklin County,VA,40,1
5106999999,653,678,895,1235,1271,69,51,99999,59209,Frederick County,METRO49020M49020,"Winchester, VA-WV MSA",Frederick County,VA,40,1
5107199999,352,457,541,690,952,71,51,99999,16657,Giles County,METRO13980N51071,"Giles County, VA HUD Metro FMR Area",Giles County,VA,40,1
5107399999,882,919,1064,1454,1753,73,51,99999,34780,Gloucester County,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Gloucester County,VA,50,1
5107599999,725,786,878,1171,1399,75,51,99999,16863,Goochland County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Goochland County,VA,40,1
5107799999,451,466,541,690,767,77,51,99999,17917,Grayson County,NCNTY51077N51077,"Grayson County, VA",Grayson County,VA,40,0
5107999999,723,870,1029,1334,1476,79,51,99999,15244,Greene County,METRO16820M16820,"Charlottesville, VA MSA",Greene County,VA,40,1
5108199999,475,514,571,690,857,81,51,99999,11560,Greensville County,NCNTY51081N51081,"Greensville County-Emporia city, VA HUD Nonmetro FMR Area",Greensville County,VA,40,0
5108399999,352,489,541,727,951,83,51,99999,37355,Halifax County,NCNTY51083N51083,"Halifax County, VA",Halifax County,VA,40,0
5108599999,725,786,878,1171,1399,85,51,99999,86320,Hanover County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Hanover County,VA,40,1
5108799999,725,786,878,1171,1399,87,51,99999,262300,Henrico County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Henrico County,VA,40,1
