State,CountyName,MSAName,county,fmr_area,FMRf_2005_0,FMRf_2005_1,FMRf_2005_2,FMRf_2005_3,FMRf_2005_4
51,Albemarle County,"Charlottesville, VA MSA",3,1540,520,629,744,962,1063
51,Fluvanna County,"Charlottesville, VA MSA",65,1540,520,629,744,962,1063
51,Greene County,"Charlottesville, VA MSA",79,1540,520,629,744,962,1063
51,Charlottesville city,"Charlottesville, VA MSA",540,1540,520,629,744,962,1063
51,Clarke County,Clarke County MSA**,43,1650,843,881,1016,1214,1660
51,Culpeper County,Culpeper County MSA**,47,1891,578,588,696,900,956
51,Pittsylvania County,"Danville, VA MSA",143,1950,330,379,489,610,655
51,Danville city,"Danville, VA MSA",590,1950,330,379,489,610,655
51,Scott County,"Johnson City--Kingsport--Bristol, TN--VA MSA",169,3660,334,384,476,616,750
51,Washington County,"Johnson City--Kingsport--Bristol, TN--VA MSA",191,3660,334,384,476,616,750
51,Bristol city,"Johnson City--Kingsport--Bristol, TN--VA MSA",520,3660,334,384,476,616,750
51,King George County,King George County MSA**,99,3830,583,584,702,1021,1051
51,Amherst County,"Lynchburg, VA MSA",9,4640,428,431,520,660,729
51,Bedford County,"Lynchburg, VA MSA",19,4640,428,431,520,660,729
51,Campbell County,"Lynchburg, VA MSA",31,4640,428,431,520,660,729
51,Bedford city,"Lynchburg, VA MSA",515,4640,428,431,520,660,729
51,Lynchburg city,"Lynchburg, VA MSA",680,4640,428,431,520,660,729
51,Gloucester County,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",73,5720,653,686,788,1087,1361
51,Isle of Wight County,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",93,5720,653,686,788,1087,1361
51,James City County,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",95,5720,653,686,788,1087,1361
51,Mathews County,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",115,5720,653,686,788,1087,1361
51,York County,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",199,5720,653,686,788,1087,1361
51,Chesapeake city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",550,5720,653,686,788,1087,1361
51,Hampton city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",650,5720,653,686,788,1087,1361
51,Newport News city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",700,5720,653,686,788,1087,1361
51,Norfolk city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",710,5720,653,686,788,1087,1361
51,Poquoson city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",735,5720,653,686,788,1087,1361
51,Portsmouth city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",740,5720,653,686,788,1087,1361
51,Suffolk city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",800,5720,653,686,788,1087,1361
51,Virginia Beach city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",810,5720,653,686,788,1087,1361
51,Williamsburg city,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",830,5720,653,686,788,1087,1361
51,Charles City County,"Richmond--Petersburg, VA MSA",36,6760,668,721,810,1086,1301
51,Chesterfield County,"Richmond--Petersburg, VA MSA",41,6760,668,721,810,1086,1301
