State,State Name,County,County Name,CBSA,CBSA Name,ZIP,area_rent_br0,area_rent_br1,area_rent_br2,area_rent_br3,area_rent_br4
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22901,750,900,1060,1370,1520
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22902,700,840,990,1280,1420
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22903,700,850,1000,1300,1430
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22904,1080,1300,1540,2000,2210
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22911,880,1060,1250,1620,1790
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22920,530,630,750,970,1080
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22923,720,860,1020,1320,1460
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22931,760,910,1080,1400,1550
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22932,670,810,960,1240,1380
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22935,570,680,810,1050,1160
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22936,790,950,1130,1460,1620
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22937,670,810,960,1240,1380
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22938,540,650,770,1000,1100
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22940,600,730,860,1110,1230
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22942,630,760,900,1170,1290
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22943,1010,1210,1430,1850,2050
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22946,760,910,1080,1400,1550
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22947,740,890,1050,1360,1510
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22959,720,860,1020,1320,1460
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22968,840,1010,1200,1560,1720
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22969,600,720,850,1100,1220
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22974,610,740,870,1130,1250
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",24562,760,910,1080,1400,1550
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",24590,600,730,860,1110,1230
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23002,660,720,800,1070,1270
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23083,620,670,750,1000,1190
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23833,550,600,670,890,1070
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23850,690,740,830,1110,1320
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23966,530,570,640,850,1020
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",22922,440,450,540,670,740
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",22967,750,770,930,1150,1280
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24483,500,510,620,760,850
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24521,460,470,570,700,780
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24526,440,450,540,670,740
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24533,500,510,620,760,850
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24553,500,510,620,760,850
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24572,520,530,640,790,880
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24574,460,470,570,700,780
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24595,500,510,620,760,850
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",23939,480,490,590,730,810
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",23958,450,460,560,690,770
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",23960,480,490,590,730,810
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",23963,480,490,590,730,810
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",24504,530,550,660,810,910
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",24522,450,460,560,690,770
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",24538,580,600,720,890,990
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",24553,480,490,590,730,810
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",24593,610,630,760,940,1050
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22046,1080,1230,1400,1810,2360
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22101,1280,1460,1650,2130,2790
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22201,1370,1560,1770,2280,2990
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22202,1500,1710,1940,2500,3270
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22203,1350,1540,1750,2260,2950
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22204,1030,1170,1330,1720,2250
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22205,980,1110,1260,1630,2130
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22206,1300,1480,1680,2170,2840
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22207,1270,1450,1640,2120,2770
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22209,1250,1420,1610,2080,2720
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22211,1280,1460,1650,2130,2790
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22213,1280,1460,1650,2130,2790
51,Virginia,013,Arlington County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",22214,1280,1460,1650,2130,2790
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24064,650,660,800,990,1100
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24095,560,570,690,850,950
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24101,510,520,630,780,870
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24104,560,570,690,850,950
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24121,700,720,870,1070,1200
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24122,440,450,540,670,740
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24139,520,530,640,790,880
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24174,470,480,580,720,800
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24179,520,530,640,790,880
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24501,530,540,650,800,890
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24502,560,570,690,850,950
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24503,550,560,680,840,940
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24523,570,580,700,860,960
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24526,440,450,540,670,740
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24536,520,530,640,790,880
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24550,490,500,600,740,830
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24551,470,480,580,720,800
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24556,670,690,830,1020,1140
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24570,520,530,640,790,880
51,Virginia,019,Bedford County,31340,"Lynchburg, VA MSA",24571,470,480,580,720,800
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24012,520,560,720,910,1000
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24019,590,630,810,1030,1120
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24064,590,630,810,1030,1120
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24066,540,570,740,940,1020
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24077,600,640,830,1050,1150
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24083,550,580,750,950,1040
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24085,800,850,1100,1400,1520
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24090,440,470,610,770,840
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24130,550,580,750,950,1040
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24153,550,580,750,950,1040
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24175,600,630,820,1040,1140
51,Virginia,023,Botetourt County,40220,"Roanoke, VA MSA",24422,550,580,750,950,1040
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",23963,480,490,590,730,810
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24501,530,540,650,800,890
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24502,560,570,690,850,950
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24504,530,550,660,810,910
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24517,440,450,540,670,740
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24528,440,450,540,670,740
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24538,580,600,720,890,990
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24550,490,500,600,740,830
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24551,470,480,580,720,800
51,Virginia,031,Campbell County,31340,"Lynchburg, VA MSA",24554,610,630,760,940,1050
