FIPS,fmr0,fmr1,fmr2,fmr3,fmr4,county,State,CouSub,pop2000,countyname,Metro_code,Areaname,county_town_name,state_alpha,fmr_type,metro
5100199999,402,550,619,752,926,1,51,99999,38305,Accomack County,NCNTY51001N51001,"Accomack County, VA",Accomack County,VA,40,0
5100399999,654,787,931,1207,1335,3,51,99999,79236,Albemarle County,METRO16820M16820,"Charlottesville, VA MSA",Albemarle County,VA,40,1
5100599999,382,490,588,714,745,5,51,99999,12926,Alleghany County,NCNTY51005N51005,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmetro FMR Area",Alleghany County,VA,40,0
5100799999,791,857,958,1278,1526,7,51,99999,11400,Amelia County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Amelia County,VA,50,1
5100999999,528,542,653,805,899,9,51,99999,31894,Amherst County,METRO31340M31340,"Lynchburg, VA MSA",Amherst County,VA,40,1
5101199999,528,542,653,805,899,11,51,99999,13705,Appomattox County,METRO31340M31340,"Lynchburg, VA MSA",Appomattox County,VA,40,1
5101399999,1131,1289,1461,1885,2466,13,51,99999,189453,Arlington County,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Arlington County,VA,50,1
5101599999,513,528,689,985,1133,15,51,99999,65615,Augusta County,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Augusta County,VA,40,0
5101799999,504,524,651,898,1085,17,51,99999,5048,Bath County,NCNTY51017N51017,"Bath County, VA",Bath County,VA,40,0
5101999999,528,542,653,805,899,19,51,99999,60371,Bedford County,METRO31340M31340,"Lynchburg, VA MSA",Bedford County,VA,40,1
5102199999,490,507,588,750,833,21,51,99999,6871,Bland County,NCNTY51021N51021,"Bland County, VA",Bland County,VA,40,0
5102399999,524,558,721,915,999,23,51,99999,30496,Botetourt County,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Botetourt County,VA,40,1
5102599999,506,523,609,759,1051,25,51,99999,18419,Brunswick County,NCNTY51025N51025,"Brunswick County, VA",Brunswick County,VA,40,0
5102799999,490,507,588,750,833,27,51,99999,26978,Buchanan County,NCNTY51027N51027,"Buchanan County, VA",Buchanan County,VA,40,0
