ZIP,fmr0,fmr1,fmr2,fmr3,fmr4,County,state,countyname,Metro_code,Areaname,state_alpha
75001,840,930,1120,1460,1730,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75002,870,960,1160,1510,1790,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75006,730,810,980,1280,1510,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75007,860,950,1150,1500,1770,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75007,860,950,1150,1500,1770,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75009,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75009,820,900,1090,1420,1680,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75010,910,1010,1220,1590,1880,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75013,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75019,970,1080,1300,1690,2000,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75022,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75023,970,1080,1300,1690,2000,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75024,950,1050,1270,1650,1960,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75025,890,980,1190,1550,1830,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75028,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75032,730,810,980,1280,1510,397,48,Rockwall County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75034,790,880,1060,1380,1630,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75034,790,880,1060,1380,1630,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75035,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75038,740,820,990,1290,1530,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75039,970,1070,1290,1680,1990,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75040,730,800,970,1260,1490,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75041,630,690,840,1090,1290,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75042,630,690,840,1090,1290,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75043,710,790,950,1240,1460,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75044,840,930,1120,1460,1730,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75048,680,750,910,1180,1400,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75048,680,750,910,1180,1400,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75050,670,740,890,1160,1370,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75051,590,650,790,1030,1220,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
