ZIP,fmr0,fmr1,fmr2,fmr3,fmr4,County,state,countyname,Metro_code,Areaname,state_alpha
75052,750,830,1000,1300,1540,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75056,1000,1100,1330,1730,2050,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75057,790,880,1060,1380,1630,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75060,660,730,880,1150,1360,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75061,640,710,860,1120,1330,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75062,700,780,940,1220,1450,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75063,880,970,1170,1520,1800,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75065,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75067,790,880,1060,1380,1630,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75068,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75069,670,740,890,1160,1370,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75070,790,870,1050,1370,1620,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75071,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75074,810,890,1080,1410,1660,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75075,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75077,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75078,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75078,820,900,1090,1420,1680,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75080,850,930,1130,1470,1740,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75080,850,930,1130,1470,1740,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75081,820,900,1090,1420,1680,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75082,810,890,1080,1410,1660,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75082,810,890,1080,1410,1660,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75087,700,780,940,1220,1450,397,48,Rockwall County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75088,680,750,910,1180,1400,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75088,680,750,910,1180,1400,397,48,Rockwall County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75089,670,740,900,1170,1390,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75089,670,740,900,1170,1390,397,48,Rockwall County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75093,910,1000,1210,1580,1860,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75093,910,1000,1210,1580,1860,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75094,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75098,700,780,940,1220,1450,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75098,700,780,940,1220,1450,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75098,700,780,940,1220,1450,397,48,Rockwall County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75101,610,670,810,1050,1250,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75104,770,850,1030,1340,1590,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75114,560,620,750,980,1160,257,48,Kaufman County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75115,700,780,940,1220,1450,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75116,720,790,960,1250,1480,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75119,580,640,770,1000,1190,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75121,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75125,610,680,820,1070,1260,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75125,610,680,820,1070,1260,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75126,560,620,750,980,1160,257,48,Kaufman County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75132,730,810,980,1280,1510,397,48,Rockwall County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75134,680,750,910,1180,1400,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75135,500,550,670,870,1030,231,48,Hunt County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75137,850,930,1130,1470,1740,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75141,670,740,890,1160,1370,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75142,560,620,750,980,1160,257,48,Kaufman County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75143,560,620,750,980,1160,257,48,Kaufman County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75146,690,760,920,1200,1420,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75147,560,620,750,980,1160,257,48,Kaufman County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75149,680,750,910,1180,1400,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75150,730,800,970,1260,1490,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75152,610,670,810,1050,1250,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75154,710,790,950,1240,1460,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75154,710,790,950,1240,1460,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75156,560,620,750,980,1160,257,48,Kaufman County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75157,560,620,750,980,1160,257,48,Kaufman County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75158,560,620,750,980,1160,257,48,Kaufman County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75159,670,740,890,1160,1370,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75159,670,740,890,1160,1370,257,48,Kaufman County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75160,580,650,780,1020,1200,257,48,Kaufman County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75161,560,620,750,980,1160,257,48,Kaufman County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75164,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75165,640,700,850,1110,1310,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75166,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75167,610,670,810,1050,1250,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75169,510,560,680,890,1050,231,48,Hunt County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75169,510,560,680,890,1050,257,48,Kaufman County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75172,670,740,890,1160,1370,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75173,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75180,650,720,870,1130,1340,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75181,670,740,890,1160,1370,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75182,670,740,890,1160,1370,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75189,690,760,920,1200,1420,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75189,690,760,920,1200,1420,231,48,Hunt County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75189,690,760,920,1200,1420,397,48,Rockwall County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75201,1010,1120,1350,1760,2080,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75202,670,740,890,1160,1370,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75203,480,530,640,830,990,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75204,790,880,1060,1380,1630,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75205,930,1030,1240,1610,1910,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75206,700,780,940,1220,1450,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75207,670,740,890,1160,1370,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75208,530,590,710,920,1090,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75209,650,720,870,1130,1340,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75210,480,530,640,830,990,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75211,580,640,770,1000,1190,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75212,480,530,640,830,990,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75214,680,750,910,1180,1400,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75215,440,490,590,770,910,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75216,540,600,720,940,1110,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75217,590,650,790,1030,1220,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75218,720,790,960,1250,1480,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75219,640,700,850,1110,1310,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75220,580,640,770,1000,1190,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75223,550,610,740,960,1140,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75224,540,600,720,940,1110,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75225,1010,1120,1350,1760,2080,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75226,920,1020,1230,1600,1900,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75227,600,660,800,1040,1230,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75228,610,670,810,1050,1250,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75229,640,710,860,1120,1330,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75230,690,760,920,1200,1420,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75231,550,610,740,960,1140,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75232,520,580,700,910,1080,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75233,640,710,860,1120,1330,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75234,720,790,960,1250,1480,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75235,600,660,800,1040,1230,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75236,650,720,870,1130,1340,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75237,590,650,790,1030,1220,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75238,610,680,820,1070,1260,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75240,730,800,970,1260,1490,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75241,580,640,770,1000,1190,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75242,670,740,890,1160,1370,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75243,670,740,890,1160,1370,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75244,740,820,990,1290,1530,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75246,500,550,670,870,1030,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75247,670,740,890,1160,1370,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75248,790,870,1050,1370,1620,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75248,790,870,1050,1370,1620,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75249,670,740,890,1160,1370,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75251,670,740,890,1160,1370,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75252,700,780,940,1220,1450,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75252,700,780,940,1220,1450,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75253,580,650,780,1020,1200,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75254,670,740,890,1160,1370,113,48,Dallas County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75287,760,840,1020,1330,1570,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75287,760,840,1020,1330,1570,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75401,490,540,650,850,1000,231,48,Hunt County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75402,580,650,780,1020,1200,231,48,Hunt County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75407,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75409,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75415,440,490,590,770,910,119,48,Delta County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75422,500,550,670,870,1030,231,48,Hunt County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75423,500,550,670,870,1030,231,48,Hunt County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75424,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75428,450,500,600,780,920,231,48,Hunt County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75432,440,490,590,770,910,119,48,Delta County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75442,800,880,1070,1390,1650,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75442,800,880,1070,1390,1650,231,48,Hunt County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75448,440,490,590,770,910,119,48,Delta County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75449,500,550,670,870,1030,231,48,Hunt County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75450,440,490,590,770,910,119,48,Delta County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75452,660,730,880,1150,1360,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75452,660,730,880,1150,1360,231,48,Hunt County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75453,500,550,670,870,1030,231,48,Hunt County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75454,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75469,440,490,590,770,910,119,48,Delta County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75474,500,550,670,870,1030,231,48,Hunt County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75491,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75495,820,900,1090,1420,1680,085,48,Collin County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
75496,500,550,670,870,1030,231,48,Hunt County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76041,610,670,810,1050,1250,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76050,570,630,760,990,1170,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76052,650,720,870,1130,1340,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76055,610,670,810,1050,1250,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76064,610,670,810,1050,1250,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76065,610,670,810,1050,1250,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76084,580,640,770,1000,1190,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76201,600,660,800,1040,1230,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76205,700,780,940,1220,1450,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76207,710,790,950,1240,1460,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76208,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76209,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76210,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76226,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76227,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76234,520,570,690,900,1060,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76247,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76249,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76258,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76259,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76262,730,810,980,1280,1510,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76266,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76272,740,820,990,1290,1530,121,48,Denton County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76651,610,670,810,1050,1250,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
76670,610,670,810,1050,1250,139,48,Ellis County,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",TX
