fips2000,fips2010,msa15,fmr15_2,fmr15,msa14,fmr14_2,fmr14,msa13,fmr13_2,fmr13,msa12,fmr12_2,fmr12,msa11,fmr11_2,fmr11,msa10,fmr10_2,fmr10,msa09,fmr09_2,fmr09,msa08,fmr08_2,fmr08,msa07,fmr07_2,fmr07,msa06,fmr06_2,fmr06,msa05,fmr05_2,fmr05,msa04,fmr04_2,fmr04,msa03,fmr03_2,fmr03,msa02,fmr02_2,fmr02,msa01,fmr01_2,fmr01,msa00,fmr00_2,fmr00,msa99,fmr99_2,fmr99,msa98,fmr98_2,fmr98,msa97,fmr97_2,fmr97,msa96,fmr96_2,fmr96,msa95,fmr95_2,fmr95,msa94,fmr94_2,fmr94,msa93,fmr93_2,fmr93,msa92,fmr92_2,fmr92,msa91,fmr91_2,fmr91,msa90,fmr90_2,fmr90,msa89,fmr89_2,fmr89,msa88,fmr88_2,fmr88,msa87,fmr87_2,fmr87,msa86,fmr86_2,fmr86,msa85,fmr85_2,fmr85,msa83,fmr83_2,fmr83,cbsasub,areaname,state,cousub,name,county,pop2000,pop2010,census_region
5100199999,5100199999,NCNTY51001N51001,745,40,NCNTY51001N51001,734,40,NCNTY51001N51001,739,40,NCNTY51001N51001,643,40,NCNTY51001N51001,619,40,NCNTY51001N51001,600,40,NCNTY51001N51001,586,40,NCNTY51001N51001,563,40,NCNTY51001N51001,528,40,NCNTY51001N51001,508,40,9999,494,40,10000,461,40,10000,461,40,10000,450,40,10000,433,40,10000,430,40,10000,428,40,10000,422,40,10000,413,40,10000,409,40,10000,398,40,10000,407,45,10000,398,45,10000,385,45,10000,372,45,10000,363,45,10000,355,45,10000,350,45,10000,341,45,10000,333,45,10000,333,45,10000,322,45,NCNTY51001N51001,"Accomack County, VA",51,99999,Accomack County,1,38305,33164,3
5100399999,5100399999,METRO16820M16820,1038,40,METRO16820M16820,1008,40,METRO16820M16820,1099,40,METRO16820M16820,1029,40,METRO16820M16820,931,40,METRO16820M16820,903,40,METRO16820M16820,882,40,METRO16820M16820,847,40,METRO16820M16820,792,40,METRO16820M16820,761,40,1540,744,40,1540,698,40,1540,693,40,1540,677,40,1540,656,40,1540,650,40,1540,645,40,1540,634,40,1540,622,40,1540,585,40,1540,567,40,1540,569,45,1540,539,45,1540,520,45,1540,503,45,1540,490,45,1540,479,45,1540,472,45,1540,459,45,1540,449,45,1540,415,45,1540,402,45,METRO16820M16820,"Charlottesville, VA MSA",51,99999,Albemarle County,3,79236,98970,3
5100599999,5100599999,NCNTY51005N51005,674,40,NCNTY51005N51005,617,40,NCNTY51005N51005,626,40,NCNTY51005N51005,541,40,NCNTY51005N51005,588,40,NCNTY51005N51005,571,40,NCNTY51005N51005,557,40,NCNTY51005N51005,535,40,NCNTY51005N51005,502,40,NCNTY51005N51005,483,40,9999,460,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,10000,423,40,10000,417,40,10000,408,40,10000,404,40,10000,350,40,10000,358,45,10000,429,45,10000,415,45,10000,401,45,10000,391,45,10000,383,45,10000,377,45,10000,367,45,10000,359,45,10000,325,45,10000,314,45,NCNTY51005N51005,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmetro FMR Area",51,99999,Alleghany County,5,12926,16250,3
5100799999,5100799999,METRO40060M40060,993,50,METRO40060M40060,984,50,METRO40060M40060,979,50,METRO40060M40060,878,40,METRO40060M40060,958,50,METRO40060M40060,930,50,METRO40060M40060,925,50,METRO40060M40060,870,50,METRO40060M40060,788,50,METRO40060M40060,757,50,9999,452,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,10000,423,40,10000,417,40,10000,408,40,10000,404,40,10000,324,40,10000,332,45,10000,353,45,10000,342,45,10000,331,45,10000,323,45,10000,316,45,10000,312,45,10000,304,45,10000,297,45,10000,373,45,10000,361,45,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,99999,Amelia County,7,11400,12690,3
5100999999,5100999999,METRO31340M31340,746,40,METRO31340M31340,657,40,METRO31340M31340,726,40,METRO31340M31340,654,40,METRO31340M31340,653,40,METRO31340M31340,634,40,METRO31340M31340,619,40,METRO31340M31340,595,40,METRO31340M31340,556,40,METRO31340M31340,534,40,4640,520,40,4640,476,40,4640,473,40,4640,461,40,4640,447,40,4640,443,40,4640,440,40,4640,432,40,4640,424,40,4640,413,40,4640,400,40,4640,402,45,4640,444,45,4640,428,45,4640,414,45,4640,404,45,4640,395,45,4640,389,45,4640,379,45,4640,370,45,4640,385,45,4640,372,45,METRO31340M31340,"Lynchburg, VA MSA",51,99999,Amherst County,9,31894,32353,3
5101199999,5101199999,METRO31340M31340,746,40,METRO31340M31340,657,40,METRO31340M31340,726,40,METRO31340M31340,654,40,METRO31340M31340,653,40,METRO31340M31340,634,40,METRO31340M31340,619,40,METRO31340M31340,595,40,METRO31340M31340,556,40,METRO31340M31340,534,40,9999,469,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,10000,423,40,10000,417,40,10000,408,40,10000,404,40,10000,326,40,10000,334,45,10000,426,45,10000,412,45,10000,399,45,10000,389,45,10000,381,45,10000,375,45,10000,365,45,10000,357,45,10000,354,45,10000,342,45,METRO31340M31340,"Lynchburg, VA MSA",51,99999,Appomattox County,11,13705,14973,3
5101399999,5101399999,METRO47900M47900,1458,40,METRO47900M47900,1469,40,METRO47900M47900,1412,40,METRO47900M47900,1506,50,METRO47900M47900,1461,50,METRO47900M47900,1494,50,METRO47900M47900,1288,40,METRO47900M47900,1324,50,METRO47900M47900,1286,50,METRO47900M47900,1225,50,8840,1187,50,8840,1218,50,8840,1154,50,8840,943,50,8840,907,50,8840,840,40,8840,820,40,8840,812,40,8840,794,40,8840,779,40,8840,834,40,8840,844,45,8840,854,45,8840,830,45,8840,731,45,8840,695,45,8840,671,45,8840,641,45,8840,563,45,8840,530,45,8840,485,45,8840,414,45,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",51,99999,Arlington County,13,189453,207627,3
5101599999,5101599999,NCNTY51015N51015,801,40,NCNTY51015N51015,719,40,NCNTY51015N51015,669,40,NCNTY51015N51015,629,40,NCNTY51015N51015,689,40,NCNTY51015N51015,668,40,NCNTY51015N51015,653,40,NCNTY51015N51015,627,40,NCNTY51015N51015,588,40,NCNTY51015N51015,565,40,9999,549,40,10000,485,40,10000,485,40,10000,473,40,10000,455,40,10000,452,40,10000,450,40,10000,443,40,10000,433,40,10000,428,40,10000,416,40,10000,425,45,10000,429,45,10000,415,45,10000,401,45,10000,391,45,10000,383,45,10000,377,45,10000,367,45,10000,359,45,10000,311,45,10000,300,45,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",51,99999,Augusta County,15,65615,73750,3
5101799999,5101799999,NCNTY51017N51017,649,40,NCNTY51017N51017,617,40,NCNTY51017N51017,635,40,NCNTY51017N51017,556,40,NCNTY51017N51017,651,40,NCNTY51017N51017,632,40,NCNTY51017N51017,617,40,NCNTY51017N51017,592,40,NCNTY51017N51017,554,40,NCNTY51017N51017,533,40,9999,518,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,10000,423,40,10000,417,40,10000,408,40,10000,404,40,10000,371,40,10000,380,45,10000,429,45,10000,415,45,10000,401,45,10000,391,45,10000,383,45,10000,377,45,10000,367,45,10000,359,45,10000,311,45,10000,300,45,NCNTY51017N51017,"Bath County, VA",51,99999,Bath County,17,5048,4731,3
5101999999,5101999999,METRO31340M31340,746,40,METRO31340M31340,657,40,METRO31340M31340,726,40,METRO31340M31340,654,40,METRO31340M31340,653,40,METRO31340M31340,634,40,METRO31340M31340,619,40,METRO31340M31340,595,40,METRO31340M31340,556,40,METRO31340M31340,534,40,4640,520,40,4640,476,40,4640,473,40,4640,461,40,4640,447,40,4640,443,40,4640,440,40,4640,432,40,4640,424,40,4640,413,40,4640,400,40,4640,402,45,10000,372,45,10000,360,45,10000,348,45,10000,339,45,10000,332,45,10000,327,45,10000,318,45,10000,311,45,10000,383,45,10000,371,45,METRO31340M31340,"Lynchburg, VA MSA",51,99999,Bedford County,19,60371,68676,3
