State,State Name,County,County Name,CBSA,CBSA Name,ZIP,area_rent_br0,area_rent_br1,area_rent_br2,area_rent_br3,area_rent_br4
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22901,680,890,1060,1350,1530
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22902,620,820,970,1230,1400
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22903,620,820,970,1230,1400
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22911,770,1010,1200,1530,1730
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22920,460,610,720,920,1040
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22923,590,780,920,1170,1330
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22931,680,900,1070,1360,1540
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22932,520,690,820,1040,1180
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22935,660,880,1040,1320,1500
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22936,850,1120,1330,1690,1920
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22937,510,670,800,1020,1150
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22940,570,750,890,1130,1280
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22942,540,710,840,1070,1210
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22943,680,900,1070,1360,1540
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22946,680,900,1070,1360,1540
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22947,960,1270,1510,1920,2180
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22959,600,790,940,1200,1360
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22968,780,1030,1220,1550,1760
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22969,590,780,930,1180,1340
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",22974,570,750,890,1130,1280
51,Virginia,003,Albemarle County,16820,"Charlottesville, VA MSA",24590,520,690,820,1040,1180
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23002,620,650,770,1010,1230
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23083,550,580,690,910,1100
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23833,560,590,700,920,1120
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23850,650,680,810,1070,1290
51,Virginia,007,Amelia County,40060,"Richmond, VA MSA",23966,550,580,690,910,1100
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",22922,460,510,620,790,910
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",22967,680,750,910,1160,1340
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24483,460,510,620,790,910
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24521,460,510,620,790,910
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24553,460,510,620,790,910
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24572,480,520,640,820,940
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24574,460,510,620,790,910
51,Virginia,009,Amherst County,31340,"Lynchburg, VA MSA",24595,460,510,620,790,910
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",23958,460,510,620,790,910
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",23960,460,510,620,790,910
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",23963,460,510,620,790,910
51,Virginia,011,Appomattox County,31340,"Lynchburg, VA MSA",24522,460,510,620,790,910
