FMR Year,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
FY 2000,$295,$369,$479,$615,$766
FY 2001,$298,$373,$484,$621,$773
FY 2002,$308,$385,$500,$641,$798
FY 2003,$315,$394,$512,$656,$817
FY 2004,$317,$397,$515,$660,$822
FY 2005,$416,$449,$586,$788,$813
FY 2005 Revised Final,$416,$449,$586,$788,$813
