FMR Year,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
FY 2000,$474,$537,$625,$870,"$1,026"
FY 2001,$509,$576,$671,$933,"$1,101"
FY 2002,$525,$595,$693,$963,"$1,137"
FY 2003,$592,$669,$780,"$1,084","$1,279"
FY 2004,$596,$673,$785,"$1,091","$1,288"
FY 2005,$668,$721,$810,"$1,086","$1,301"
FY 2005 Revised Final,$668,$721,$810,"$1,086","$1,301"
