FMR Year,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
FY 2000,$430,$508,$650,$864,$968
FY 2001,$434,$513,$656,$872,$977
FY 2002,$448,$530,$677,$900,"$1,009"
FY 2003,$459,$543,$693,$922,"$1,033"
FY 2004,$462,$547,$698,$928,"$1,040"
FY 2005,$520,$629,$744,$962,"$1,063"
FY 2005 Revised Final,$520,$629,$744,$962,"$1,063"
