FMR Year,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
FY 2000,$349,$384,$443,$582,$702
FY 2001,$352,$388,$447,$588,$709
FY 2002,$363,$401,$461,$607,$732
FY 2003,$372,$411,$473,$622,$750
FY 2004,$374,$414,$476,$626,$755
FY 2005,$428,$431,$520,$660,$729
FY 2005 Revised Final,$428,$431,$520,$660,$729
