FMR Year,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
FY 2000,$436,$491,$580,$809,$951
FY 2001,$475,$535,$632,$882,"$1,036"
FY 2002,$490,$552,$652,$911,"$1,070"
FY 2003,$558,$628,$743,"$1,037","$1,218"
FY 2004,$562,$632,$748,"$1,044","$1,226"
FY 2005,$653,$686,$788,"$1,087","$1,361"
FY 2005 Revised Final,$653,$686,$788,"$1,087","$1,361"
