FMR Year,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
FY 2000,$384,$561,$652,$862,"$1,032"
FY 2001,$388,$566,$658,$870,"$1,042"
FY 2002,$401,$584,$679,$898,"$1,076"
FY 2003,$435,$634,$737,$974,"$1,167"
FY 2004,$457,$666,$775,"$1,024","$1,227"
FY 2005,$578,$588,$696,$900,$956
FY 2005 Revised Final,$578,$588,$696,$900,$956
