FMR Year,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
FY 2000,$312,$440,$569,$782,$798
FY 2001,$321,$453,$586,$805,$821
FY 2002,$335,$472,$611,$839,$856
FY 2003,$352,$496,$642,$882,$900
FY 2004,$369,$521,$674,$926,$945
FY 2005,$843,$881,"$1,016","$1,214","$1,660"
FY 2005 Revised Final,$843,$881,"$1,016","$1,214","$1,660"
