FMR Year,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
FY 2000,$378,$502,$564,$784,$790
FY 2001,$389,$517,$581,$807,$813
FY 2002,$406,$539,$606,$842,$848
FY 2003,$426,$567,$636,$884,$891
FY 2004,$447,$595,$667,$927,$934
FY 2005,$583,$584,$702,"$1,021","$1,051"
FY 2005 Revised Final,$583,$584,$702,"$1,021","$1,051"
