FMR Year,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
FY 2000,$293,$369,$434,$582,$702
FY 2001,$296,$373,$438,$588,$709
FY 2002,$306,$385,$452,$607,$732
FY 2003,$313,$394,$463,$622,$750
FY 2004,$315,$397,$466,$626,$755
FY 2005,$330,$379,$489,$610,$655
FY 2005 Revised Final,$330,$379,$489,$610,$655
