FMR Year,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
FY 2000,$305,$418,$557,$730,$912
FY 2001,$314,$430,$573,$751,$938
FY 2002,$327,$448,$597,$783,$977
FY 2003,$344,$471,$629,$823,"$1,028"
FY 2004,$361,$495,$661,$865,"$1,080"
FY 2005,$435,$506,$630,$886,$913
FY 2005 Revised Final,$435,$506,$630,$886,$913
