ST,ID_AGIS2,AREANAME,FMR0BR,FMR1BR,FMR2BR,FMR3BR,FMR4BR
VA,CNTY51137,ORANGE,334.00000,453.00000,607.00000,845.00000,991.00000
VA,CNTY51139,PAGE,349.00000,394.00000,445.00000,597.00000,720.00000
VA,CNTY51141,PATRICK,300.00000,379.00000,445.00000,597.00000,720.00000
VA,CNTY51147,PRINCE EDWARD,337.00000,381.00000,445.00000,597.00000,720.00000
VA,CNTY51155,PULASKI,300.00000,379.00000,445.00000,597.00000,720.00000
VA,CNTY51157,RAPPAHANNOCK,304.00000,494.00000,556.00000,771.00000,909.00000
VA,CNTY51159,RICHMOND,300.00000,401.00000,449.00000,597.00000,738.00000
VA,CNTY51163,ROCKBRIDGE,300.00000,379.00000,445.00000,597.00000,720.00000
VA,CNTY51165,ROCKINGHAM,300.00000,417.00000,527.00000,722.00000,847.00000
VA,CNTY51167,RUSSELL,300.00000,379.00000,445.00000,597.00000,720.00000
VA,CNTY51171,SHENANDOAH,396.00000,406.00000,500.00000,693.00000,787.00000
VA,CNTY51173,SMYTH,300.00000,379.00000,445.00000,597.00000,720.00000
VA,CNTY51175,SOUTHAMPTON,300.00000,379.00000,445.00000,597.00000,720.00000
VA,CNTY51181,SURRY,312.00000,379.00000,445.00000,597.00000,720.00000
VA,CNTY51183,SUSSEX,300.00000,379.00000,445.00000,597.00000,720.00000
VA,CNTY51185,TAZEWELL,300.00000,379.00000,445.00000,597.00000,720.00000
VA,CNTY51193,WESTMORELAND,300.00000,406.00000,539.00000,679.00000,878.00000
VA,CNTY51195,WISE,300.00000,379.00000,445.00000,597.00000,720.00000
VA,CNTY51197,WYTHE,314.00000,379.00000,445.00000,597.00000,720.00000
