fips,fmr2,fmr0,fmr1,fmr3,fmr4,State,county,CouSub,county_town_name,pop2000,areaname,Metro_code,countyname,state_alpha,fmr_type,metro
5100199999,508,330,452,617,760,51,1,99999,Accomack County,38305,"Accomack County, VA",NCNTY51001N51001,Accomack County,VA,40,0
5100399999,761,535,643,986,1091,51,3,99999,Albemarle County,79236,"Charlottesville, VA MSA",METRO16820M16820,Albemarle County,VA,40,1
5100599999,483,314,402,587,612,51,5,99999,Alleghany County,12926,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmetro FMR Area",NCNTY51005N51005,Alleghany County,VA,40,0
5100799999,757,625,678,1010,1206,51,7,99999,Amelia County,11400,"Richmond, VA HUD Metro FMR Area",METRO40060M40060,Amelia County,VA,50,1
5100999999,534,432,443,658,735,51,9,99999,Amherst County,31894,"Lynchburg, VA MSA",METRO31340M31340,Amherst County,VA,40,1
5101199999,534,432,443,658,735,51,11,99999,Appomattox County,13705,"Lynchburg, VA MSA",METRO31340M31340,Appomattox County,VA,40,1
5101399999,1225,948,1080,1580,2068,51,13,99999,Arlington County,189453,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",METRO47900M47900,Arlington County,VA,50,1
5101599999,565,421,433,808,929,51,15,99999,Augusta County,65615,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",NCNTY51015N51015,Augusta County,VA,40,0
5101799999,533,413,429,736,888,51,17,99999,Bath County,5048,"Bath County, VA",NCNTY51017N51017,Bath County,VA,40,0
5101999999,534,432,443,658,735,51,19,99999,Bedford County,60371,"Lynchburg, VA MSA",METRO31340M31340,Bedford County,VA,40,1
5102199999,483,402,416,616,684,51,21,99999,Bland County,6871,"Bland County, VA",NCNTY51021N51021,Bland County,VA,40,0
5102399999,589,428,456,747,816,51,23,99999,Botetourt County,30496,"Roanoke, VA HUD Metro FMR Area",METRO40220M40220,Botetourt County,VA,40,1
5102599999,499,415,428,622,861,51,25,99999,Brunswick County,18419,"Brunswick County, VA",NCNTY51025N51025,Brunswick County,VA,40,0
5102799999,483,402,416,616,684,51,27,99999,Buchanan County,26978,"Buchanan County, VA",NCNTY51027N51027,Buchanan County,VA,40,0
5102999999,483,402,434,621,785,51,29,99999,Buckingham County,15623,"Buckingham County, VA",NCNTY51029N51029,Buckingham County,VA,40,0
5103199999,534,432,443,658,735,51,31,99999,Campbell County,51078,"Lynchburg, VA MSA",METRO31340M31340,Campbell County,VA,40,1
5103399999,757,625,678,1010,1206,51,33,99999,Caroline County,22121,"Richmond, VA HUD Metro FMR Area",METRO40060M40060,Caroline County,VA,50,1
5103599999,483,401,436,579,644,51,35,99999,Carroll County,29245,"Carroll County-Galax city, VA HUD Nonmetro FMR Area",NCNTY51035N51035,Carroll County,VA,40,0
5103699999,757,625,678,1010,1206,51,36,99999,Charles City County,6926,"Richmond, VA HUD Metro FMR Area",METRO40060M40060,Charles City County,VA,50,1
5103799999,483,402,434,621,785,51,37,99999,Charlotte County,12472,"Charlotte County, VA",NCNTY51037N51037,Charlotte County,VA,40,0
5104199999,757,625,678,1010,1206,51,41,99999,Chesterfield County,259903,"Richmond, VA HUD Metro FMR Area",METRO40060M40060,Chesterfield County,VA,50,1
5104399999,1225,948,1080,1580,2068,51,43,99999,Clarke County,12652,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",METRO47900M47900,Clarke County,VA,50,1
5104599999,589,428,456,747,816,51,45,99999,Craig County,5091,"Roanoke, VA HUD Metro FMR Area",METRO40220M40220,Craig County,VA,40,1
5104799999,722,599,610,934,992,51,47,99999,Culpeper County,34262,"Culpeper County, VA",NCNTY51047N51047,Culpeper County,VA,40,0
5104999999,757,625,678,1010,1206,51,49,99999,Cumberland County,9017,"Richmond, VA HUD Metro FMR Area",METRO40060M40060,Cumberland County,VA,50,1
5105199999,483,402,431,630,648,51,51,99999,Dickenson County,16395,"Dickenson County, VA",NCNTY51051N51051,Dickenson County,VA,40,0
5105399999,757,625,678,1010,1206,51,53,99999,Dinwiddie County,24533,"Richmond, VA HUD Metro FMR Area",METRO40060M40060,Dinwiddie County,VA,50,1
5105799999,590,388,479,803,828,51,57,99999,Essex County,9989,"Essex County, VA",NCNTY51057N51057,Essex County,VA,40,0
5105999999,1225,948,1080,1580,2068,51,59,99999,Fairfax County,969749,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",METRO47900M47900,Fairfax County,VA,50,1
5106199999,1225,948,1080,1580,2068,51,61,99999,Fauquier County,55139,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",METRO47900M47900,Fauquier County,VA,50,1
